mode,scenario,model_arm,days,initial_soc_kwh,terminal_soc_kwh,plan_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,final_relative_cost_yuan,sequential_cost_yuan,emergency_kwh,unused_surplus_kwh,solver_seconds,solver_runs,constraint_violation_count
q2,S0,joint_empirical,334,6000.0,6000.0,13628630.29223325,0.0,1166319.4310694863,14794949.723302891,14794949.723302891,304382.5519326816,3371861.9804073283,14.931434274010826,334,0
q2,S0,mean_forecast,334,6000.0,6000.0,12222245.679277005,0.0,4234964.498732624,16457210.178009534,16457210.178009534,1084623.2193395754,2013083.6898031018,3.6932263259150204,334,0
q2,S0,no_storage,334,6000.0,6000.0,17595538.10252934,0.0,986388.9009667902,18581927.003496252,18581927.003496252,243596.76103750002,4785652.547636132,7.659263167988684,334,0
q4_2,S0,joint_empirical,334,6000.0,6000.0,14398125.992217809,0.0,1225008.8400684705,15623134.83228626,15623134.83228626,301847.56977805594,3397835.8972105547,12.647740705033357,334,0
q4_2,S0,mean_forecast,334,6000.0,6000.0,12916749.719462406,0.0,4375125.177652971,17291874.897115372,17291874.897115372,1084623.2193395754,2013083.6898031018,2.4957683000538964,334,0
q4_2,S0,no_storage,334,6000.0,6000.0,18250804.51209822,0.0,1047052.8875718877,19297857.399670064,19297857.399670064,244173.54213750004,4784283.511873617,8.277306660005706,334,0
q3,S0,joint_empirical,334,6000.0,6000.0,13787650.61955642,0.0,1968341.4669337673,15755992.086490287,15755992.086490287,480127.6922929621,3780641.606002844,11.401442330999998,334,0
q3,S1,joint_empirical,334,6000.0,6000.0,13787650.61955642,2195.8547024904833,1929439.273877672,15719285.748136725,15719285.748136725,458877.29377624486,3383407.783412941,24.858908541973506,668,0
q3,S2,joint_empirical,334,6000.0,6000.0,13787650.61955642,-94843.9462181617,1939472.2930824063,15632278.966420788,15728445.920209607,461452.28379878006,3213642.743568121,47.19342268787295,1002,0
q3,S3,joint_empirical,334,6000.0,6000.0,13787650.61955642,-94795.01856178339,1939629.8756086552,15632485.476603419,15728646.0037421,461512.7474726138,3213779.200257449,59.506061155800126,1336,0
q4_3,S0,joint_empirical,334,6000.0,6000.0,14529578.194483671,0.0,2081545.1291873462,16611123.323670994,16611123.323670994,491220.5871284065,3765217.62949915,11.45643150909018,334,0
q4_3,S1,joint_empirical,334,6000.0,6000.0,14529578.194483671,22283.77462383733,1999905.5127523036,16551767.481859809,16551767.481859809,458919.971740341,3366546.3307349444,28.005089786965982,668,0
q4_3,S2,joint_empirical,334,6000.0,6000.0,14529578.194483671,-76753.83251292075,2002944.487279527,16455768.849250214,16554595.470063115,461095.185138577,3199352.9714128473,38.21477526996023,1002,0
q4_3,S3,joint_empirical,334,6000.0,6000.0,14529578.194483671,-76763.2053940343,2002965.606344319,16455780.595433896,16554607.216246797,461100.40992148593,3199340.028996915,52.896581245047855,1336,0
