mode,scenario,model_arm,days,initial_soc_kwh,terminal_soc_kwh,plan_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,final_relative_cost_yuan,sequential_cost_yuan,emergency_kwh,unused_surplus_kwh,solver_seconds,solver_runs,max_balance_residual_kwh,max_soc_residual_kwh,constraint_violation_count
q3,S3,raw_baseline,334,6000.0,6000.0,12576992.5489271,231447.27267156614,5765812.696472957,18574252.51807162,18725998.039954048,1413346.2686165073,2558486.515473247,22.477099890978934,1336,7.389644451905042e-13,1.0231815394945443e-12,0
q3,S3,crossday_only,334,6000.0,6000.0,12578820.04535999,231037.12319220402,5766226.390543144,18576083.559095338,18728096.90324244,1413415.105953312,2557270.776590164,31.058949516987923,1336,5.305385760342075e-13,1.0231815394945443e-12,0
q3,S3,bias_only,334,6000.0,6000.0,12256125.936220344,327086.5995330881,4860822.804990883,17444035.340744313,17575866.008630507,1195902.3765142716,2253007.8124135374,22.638920504963608,1336,7.452803806194822e-13,1.0231815394945443e-12,0
q3,S3,bias_crossday,334,6000.0,6000.0,12265857.35999302,326977.7757723143,4860778.5416760985,17453613.677441433,17585508.33025693,1195920.5004390632,2252522.5929857944,31.351667787017504,1336,5.305385760342075e-13,1.0231815394945443e-12,0
q3,S3,scenario_crossday,334,6000.0,6000.0,12710116.10400726,498501.20616439113,3590762.682432163,16799379.992603816,17042628.040713124,890470.4723604074,2549720.1403384665,872.5903290359747,1336,1.010549668636587e-12,2.7284841053187847e-12,0
q3,S3,all_three,334,6000.0,6000.0,12242712.533235967,727140.2436584198,3692285.887317219,16662138.664211605,16457572.004125766,914394.1682122811,2513557.3865594007,476.37744033800846,1336,6.947528971876527e-13,3.524291969370097e-12,0
q4_3,S3,raw_baseline,334,6000.0,6000.000000000002,13234421.478212668,249314.68635250835,6060597.590765006,19544333.755330183,19700397.13236376,1417682.833173066,2552749.63239785,22.250830923998365,1336,4.800110926023787e-13,1.0231815394945443e-12,0
q4_3,S3,crossday_only,334,6000.0,6000.000000000002,13219236.496523295,249448.2807882293,6067235.01522281,19535919.792534333,19691771.489873435,1419008.6492898408,2548860.634768106,32.29753933302709,1336,7.389644451905042e-13,1.0231815394945443e-12,0
q4_3,S3,bias_only,334,6000.0,5999.999999999998,12924125.238842955,345951.96078506304,5071761.132756056,18341838.332384072,18479856.231126554,1196044.7136891554,2250598.205896849,23.343841156989583,1336,4.2948360917054913e-13,1.0231815394945443e-12,0
q4_3,S3,bias_crossday,334,6000.0,5999.999999999998,12913658.24497064,346756.1637755201,5070660.776799857,18331075.18554602,18469080.27461378,1195864.6816241753,2249422.3260999946,33.41115323596023,1336,4.547473508864641e-13,1.0231815394945443e-12,0
q4_3,S3,scenario_crossday,334,6000.0,6000.000000000004,13365168.614116464,538221.2607375352,3781207.12628013,17684597.001134127,17912678.400178067,889632.4055418979,2553466.891522197,856.7837315350043,1336,6.821210263296962e-13,2.2737367544323206e-12,0
q4_3,S3,all_three,334,6000.0,6000.000000000002,12897308.484980645,759885.8978352564,3881868.135145026,17539062.517960925,17337192.32655479,913745.481770696,2514319.4788820613,393.5042023499973,1336,6.596643670266608e-13,6.480149750132114e-12,0
q3,S0,all_three,334,6000.0,6000.0,13178323.011973293,0.0,3299774.989968047,16478098.00194134,16478098.00194134,834315.1721189014,3259752.175177784,242.42279626301206,334,1.520035126574199e-12,9.208633855450898e-12,0
q3,S1,all_three,334,6000.0,6000.0,12242712.533235967,864477.7971368401,3630969.041824374,16738159.372197181,16244607.083847778,900953.5459104918,2675422.177865107,612.0749145009904,668,3.5369238402280542e-12,1.8616219676914625e-12,0
q3,S2,all_three,334,6000.0,6000.0,12242712.533235967,725949.2739568895,3694438.629088855,16663100.43628171,16453262.396763531,914743.7679044282,2513384.6724405526,691.964328110007,1002,6.947528971876527e-13,3.524291969370097e-12,0
q4_3,S0,all_three,334,6000.0,5999.999999999998,13874915.57829975,0.0,3485689.552600489,17360605.130900238,17360605.130900238,835546.2767143747,3264465.0496943546,208.09360799997194,334,1.225291473221861e-12,1.240891833731439e-10,0
q4_3,S1,all_three,334,6000.0,5999.999999999998,12897367.337039903,899240.5637069113,3826327.275883449,17622935.176630262,17109516.074195996,899866.3753330358,2675153.9028547895,374.5790445310049,668,9.094947017729282e-13,5.4569682106375694e-12,0
q4_3,S2,all_three,334,6000.0,6000.000000000002,12897367.337039903,758661.7998453712,3883698.7856259225,17539727.922511198,17332483.851457845,914049.6888288268,2514483.0510037187,384.91431253600604,1002,1.2505552149377763e-12,2.7284841053187847e-12,0
