mode,month,days,baseline_cost_yuan,combination_cost_yuan,difference_yuan,block_bootstrap_95_low_yuan,block_bootstrap_95_high_yuan
q3,2,28,1522431.7222598218,1358773.3106544542,-163658.4116053677,-176804.25802000964,-148841.88879174803
q3,3,31,1466706.7556080213,1310592.9615891704,-156113.79401885084,-206738.76865985864,-114185.11593653115
q3,4,30,1334656.5846063236,1165537.6065437228,-169118.97806260092,-181803.25710776506,-158685.16543266634
q3,5,31,1446928.7479709883,1307927.336482976,-139001.41148801212,-162125.71607726646,-130909.82067769645
q3,6,30,1830720.036929836,1755372.803159592,-75347.23377024413,-111538.73471007218,-32892.781810889064
q3,7,31,2246306.5832085405,2062775.7554785525,-183530.82772998788,-206139.11523372208,-169237.33474223444
q3,8,31,1673814.7020123547,1488001.06153231,-185813.64048004468,-210937.9120288139,-180650.02979871255
q3,9,30,1575618.6355539144,1340677.74945811,-234940.88609580434,-247641.02267487554,-218383.29663895423
q3,10,31,1585883.7446285645,1348210.5416233477,-237673.2030052167,-260887.90329543277,-225030.8691313971
q3,11,30,1634807.6003013633,1481232.9245666938,-153574.67573466944,-180584.66999735625,-126900.53459033609
q3,12,31,2256377.404991895,2043036.6131226756,-213340.79186921925,-235191.4453170069,-193750.50823855327
q4_3,2,28,1615806.0433080974,1432586.3396826936,-183219.7036254037,-200041.36264756887,-170120.77861400673
q4_3,3,31,1468796.703785945,1308940.0803438136,-159856.62344213133,-212476.8260424091,-118840.00841823168
q4_3,4,30,1295738.8556562832,1134523.7475473157,-161215.10810896763,-174008.9001956529,-150007.5187467037
q4_3,5,31,1403323.2080349887,1270251.5958680592,-133071.61216692952,-159654.1054691427,-121533.1871167758
q4_3,6,30,1925194.3660029562,1856678.1661192304,-68516.19988372573,-104289.74889055824,-27408.667306463776
q4_3,7,31,2517487.5048278775,2334766.156511237,-182721.34831664045,-207107.86729424208,-166634.86269252264
q4_3,8,31,1812714.6484961095,1625431.337133786,-187283.3113623237,-215337.88138181766,-181079.2105654164
q4_3,9,30,1585533.3191153433,1346416.9711087465,-239116.3480065967,-249354.32729409062,-218727.2826959471
q4_3,10,31,1593641.7381304048,1349359.9633270313,-244281.77480337344,-269137.58083633287,-228733.59706516968
q4_3,11,30,1726309.8924560037,1554835.2979716961,-171474.59448430772,-198143.45482335988,-145754.88598434953
q4_3,12,31,2599787.475516172,2325272.862347317,-274514.61316885496,-301019.150681894,-243178.55458287586
