mode,scenario,month,days,final_relative_cost_yuan,sequential_cost_yuan,emergency_kwh,unused_surplus_kwh,month_end_soc_kwh
q3,S0,2,28,1366824.448049991,1366824.448049991,22750.737460773806,266773.90159316437,1200.0000000000036
q3,S0,3,31,1321006.5261416214,1321006.5261416214,41754.02696753172,318424.5986193462,1200.0000000000023
q3,S0,4,30,1157054.0769121514,1157054.0769121514,58900.00504415148,319517.3007829779,1199.999999999995
q3,S0,5,31,1274654.1657522302,1274654.1657522302,91652.21662746188,328651.240537964,1200.0000000000018
q3,S0,6,30,1740256.4183251252,1740256.4183251252,141554.73297549065,215659.93087202462,1200.0000000000018
q3,S0,7,31,2012392.5275208931,2012392.5275208931,193518.12610806155,215611.63066291597,1200.0
q3,S0,8,31,1478848.5359211676,1478848.5359211676,43670.772507674585,422201.10718574363,1200.0
q3,S0,9,30,1352395.1632352115,1352395.1632352115,25214.41164365873,525100.930718064,1200.0000000000043
q3,S0,10,31,1331066.8224043644,1331066.8224043644,41168.195808447206,362601.1616064604,1200.0000000000055
q3,S0,11,30,1471441.9880924637,1471441.9880924637,58870.395877162664,173611.6772627032,1200.0000000000023
q3,S0,12,31,1972157.3295861208,1972157.3295861208,115261.55109848712,111598.6953364198,6000.0
q3,S1,2,28,1362824.330450732,1330457.9664773187,30864.253328889416,188049.65058667742,1200.0000000000018
q3,S1,3,31,1320600.4587271644,1277313.0613716915,43347.38171085554,261549.21400076826,1200.0000000000005
q3,S1,4,30,1173359.8452791632,1129587.1643749464,58744.18685166098,281344.8810929527,1200.0000000000014
q3,S1,5,31,1310917.18327476,1263408.5669581473,93540.65229238925,298884.26339909487,1200.0000000000023
q3,S1,6,30,1765724.8285195383,1715497.3373955872,150344.73553563328,148093.47666255446,1200.0
q3,S1,7,31,2063716.4226394938,2014719.0633746167,207224.16534264153,161507.3318531507,1200.0
q3,S1,8,31,1502175.8993087788,1451836.9046735459,48672.99245489342,366871.18501585064,1200.0
q3,S1,9,30,1359336.097472781,1307138.4408360128,26519.637531464683,469259.6964377311,1200.0000000000016
q3,S1,10,31,1353890.463868324,1306563.1915474639,51360.60884138887,280518.3033232324,1200.0
q3,S1,11,30,1485710.8389500917,1444761.0590906516,54754.48520775113,154201.73232818625,1200.0000000000005
q3,S1,12,31,2039903.0037063537,2003324.327747795,135580.44681292374,65142.44316490836,6000.0
q3,S2,2,28,1358773.2170391402,1345068.5550958063,32008.27380247223,176722.61834294582,1200.0000000000018
q3,S2,3,31,1310592.2774071174,1295667.7491797542,45185.724194428665,246150.50673547288,1200.0000000000005
q3,S2,4,30,1165630.6623260179,1143686.6110000762,60354.49476180037,266334.34252560337,1200.0000000000014
q3,S2,5,31,1308196.2731377806,1284734.6526654493,97378.37554123664,277725.623736437,1200.0000000000005
q3,S2,6,30,1755501.4369658136,1733080.5037681595,148702.52590459643,140853.9636956642,1200.0000000000018
q3,S2,7,31,2062873.7586057729,2041789.5485083864,207184.2873852829,156552.1435561341,1200.0
q3,S2,8,31,1488256.052567454,1464327.982877315,49475.52162039235,344507.00422260736,1200.0
