date,position,source_timestamp,physical_interval,official_label,plan_00_grid_kwh,final_adjusted_grid_kwh,adjustment_kwh,charge_kwh,discharge_kwh,soc_start_kwh,soc_end_kwh,curtail_pv_kwh,planned_unused_nonpv_kwh,forecast_load_kwh,forecast_pv_kwh,actual_load_kwh,actual_pv_kwh,forecast_price,settlement_price,emergency_kwh,unused_surplus_kwh,plan_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,final_relative_cost_yuan,sequential_cost_yuan,decision_hour,history_cutoff_date,model_arm,scenario
2025-01-01,1,00:10,00:00-00:10,0:10-0:20,1406.6410999999998,1406.6410999999998,0.0,833.3333333333333,0.0,6000.0,6750.0,0.0,0.0,573.3077666666666,0.0,573.3077666666666,0.0,0.4248,0.4248,0.0,0.0,597.5411392799999,0.0,0.0,597.5411392799999,597.5411392799999,0,,deterministic_q1,Q1
2025-01-01,2,00:20,00:10-00:20,0:20-0:30,1406.3298666666667,1406.3298666666667,0.0,833.3333333333333,0.0,6750.0,7500.0,0.0,0.0,572.9965333333333,0.0,572.9965333333333,0.0,0.4245,0.4245,0.0,0.0,596.9870284,0.0,0.0,596.9870284,596.9870284,0,,deterministic_q1,Q1
2025-01-01,3,00:30,00:20-00:30,0:30-0:40,1407.3838500000002,1407.3838500000002,0.0,833.3333333333333,0.0,7500.0,8250.0,0.0,0.0,574.0505166666667,0.0,574.0505166666667,0.0,0.4269,0.4269,0.0,0.0,600.8121655650001,0.0,0.0,600.8121655650001,600.8121655650001,0,,deterministic_q1,Q1
2025-01-01,4,00:40,00:30-00:40,0:40-0:50,1409.07395,1409.07395,0.0,833.3333333333333,0.0,8250.0,9000.0,0.0,0.0,575.7406166666666,0.0,575.7406166666666,0.0,0.4272,0.4272,0.0,0.0,601.9563914400001,0.0,0.0,601.9563914400001,601.9563914400001,0,,deterministic_q1,Q1
2025-01-01,5,00:50,00:40-00:50,0:50-1:00,1409.8045499999998,1409.8045499999998,0.0,833.3333333333333,0.0,9000.0,9750.0,0.0,0.0,576.4712166666666,0.0,576.4712166666666,0.0,0.4271,0.4271,0.0,0.0,602.127523305,0.0,0.0,602.127523305,602.127523305,0,,deterministic_q1,Q1
2025-01-01,6,01:00,00:50-01:00,1:00-1:10,576.6400166666666,576.6400166666666,0.0,0.0,0.0,9750.0,9750.0,0.0,0.0,576.6400166666666,0.0,576.6400166666666,0.0,0.4285,0.4285,0.0,0.0,247.09024714166665,0.0,0.0,247.09024714166665,247.09024714166665,0,,deterministic_q1,Q1
2025-01-01,7,01:10,01:00-01:10,1:10-1:20,577.8597,577.8597,0.0,0.0,0.0,9750.0,9750.0,0.0,0.0,577.8597,0.0,577.8597,0.0,0.4311,0.4311,0.0,0.0,249.11531666999997,0.0,0.0,249.11531666999997,249.11531666999997,0,,deterministic_q1,Q1
2025-01-01,8,01:20,01:10-01:20,1:20-1:30,577.9938666666667,577.9938666666667,0.0,0.0,0.0,9750.0,9750.0,0.0,0.0,577.9938666666667,0.0,577.9938666666667,0.0,0.4302,0.4302,0.0,0.0,248.65296144,0.0,0.0,248.65296144,248.65296144,0,,deterministic_q1,Q1
2025-01-01,9,01:30,01:20-01:30,1:30-1:40,911.1613833333333,911.1613833333333,0.0,333.3333333333333,0.0,9750.0,10050.0,0.0,0.0,577.82805,0.0,577.82805,0.0,0.4279,0.4279,0.0,0.0,389.8859559283333,0.0,0.0,389.8859559283333,389.8859559283333,0,,deterministic_q1,Q1
2025-01-01,10,01:40,01:30-01:40,1:40-1:50,580.41545,580.41545,0.0,0.0,0.0,10050.0,10050.0,0.0,0.0,580.41545,0.0,580.41545,0.0,0.4312,0.4312,0.0,0.0,250.27514204,0.0,0.0,250.27514204,250.27514204,0,,deterministic_q1,Q1
