date,position,source_timestamp,physical_interval,official_label,plan_00_grid_kwh,final_adjusted_grid_kwh,adjustment_kwh,charge_kwh,discharge_kwh,soc_start_kwh,soc_end_kwh,curtail_pv_kwh,planned_unused_nonpv_kwh,forecast_load_kwh,forecast_pv_kwh,actual_load_kwh,actual_pv_kwh,forecast_price,settlement_price,emergency_kwh,unused_surplus_kwh,plan_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,final_relative_cost_yuan,sequential_cost_yuan,decision_hour,history_cutoff_date,model_arm,scenario
2025-02-01,1,00:10,00:00-00:10,0:10-0:20,1280.6145583333334,1280.6145583333334,0.0,833.3333333333333,0.0,6000.0,6750.0,0.0,0.0,447.281225,0.0,422.0303666666667,0.0,0.342575,0.3281,0.0,25.250858333333554,420.1696365891667,0.0,0.0,420.1696365891667,420.1696365891667,0,2025-01-31,all_three,S3
2025-02-01,2,00:20,00:10-00:20,0:20-0:30,453.2701541666666,453.2701541666666,0.0,0.0,0.0,6750.0,6750.0,0.0,0.0,453.2701541666666,0.0,415.4073166666667,0.0,0.35675,0.3257,0.0,37.8628374999999,147.6300892120833,0.0,0.0,147.6300892120833,147.6300892120833,0,2025-01-31,all_three,S3
2025-02-01,3,00:30,00:20-00:30,0:30-0:40,1293.6937500000001,1293.6937500000001,0.0,833.3333333333333,0.0,6750.0,7500.0,0.0,0.0,460.3604166666667,0.0,410.7166666666667,0.0,0.339675,0.3041,0.0,49.64375000000018,393.412269375,0.0,0.0,393.412269375,393.412269375,0,2025-01-31,all_three,S3
2025-02-01,4,00:40,00:30-00:40,0:40-0:50,1290.1039833333334,1290.1039833333334,0.0,833.3333333333333,0.0,7500.0,8250.0,0.0,0.0,456.77065,0.0,430.29479999999995,0.0,0.330125,0.3126,0.0,26.475850000000264,403.28650519,0.0,0.0,403.28650519,403.28650519,0,2025-01-31,all_three,S3
2025-02-01,5,00:50,00:40-00:50,0:50-1:00,1293.7989208333333,1293.7989208333333,0.0,833.3333333333333,0.0,8250.0,9000.0,0.0,0.0,460.46558749999997,0.0,424.4105833333333,0.0,0.352175,0.3286,0.0,36.05500416666678,425.1423253858333,0.0,0.0,425.1423253858333,425.1423253858333,0,2025-01-31,all_three,S3
2025-02-01,6,01:00,00:50-01:00,1:00-1:10,475.89,475.89,0.0,0.0,0.0,9000.0,9000.0,0.0,0.0,475.89,0.0,406.0516666666666,0.0,0.3813,0.3438,0.0,69.83833333333337,163.61098199999998,0.0,0.0,163.61098199999998,163.61098199999998,0,2025-01-31,all_three,S3
2025-02-01,7,01:10,01:00-01:10,1:10-1:20,486.2747124999999,486.2747124999999,0.0,0.0,0.0,9000.0,9000.0,0.0,0.0,486.2747124999999,0.0,436.7501833333333,0.0,0.37044999999999995,0.3704,0.0,49.52452916666658,180.11615350999998,0.0,0.0,180.11615350999998,180.11615350999998,0,2025-01-31,all_three,S3
2025-02-01,8,01:20,01:10-01:20,1:20-1:30,475.9790958333333,475.9790958333333,0.0,0.0,0.0,9000.0,9000.0,0.0,0.0,475.9790958333333,0.0,451.7976833333333,0.0,0.357475,0.3746,0.0,24.18141250000002,178.30176929916664,0.0,0.0,178.30176929916664,178.30176929916664,0,2025-01-31,all_three,S3
2025-02-01,9,01:30,01:20-01:30,1:30-1:40,462.7199999999999,462.7199999999999,0.0,0.0,0.0,9000.0,9000.0,0.0,0.0,462.7199999999999,0.0,446.08,0.0,0.362625,0.3606,0.0,16.63999999999993,166.85683199999997,0.0,0.0,166.85683199999997,166.85683199999997,0,2025-01-31,all_three,S3
2025-02-01,10,01:40,01:30-01:40,1:40-1:50,480.70310833333326,480.70310833333326,0.0,0.0,0.0,9000.0,9000.0,0.0,0.0,480.70310833333326,0.0,471.7663333333333,0.0,0.367375,0.3582,0.0,8.936774999999955,172.18785340499997,0.0,0.0,172.18785340499997,172.18785340499997,0,2025-01-31,all_three,S3
