mode,scenario,model_arm,days,initial_soc_kwh,terminal_soc_kwh,plan_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,final_relative_cost_yuan,sequential_cost_yuan,emergency_kwh,unused_surplus_kwh,solver_seconds,solver_runs,max_balance_residual_kwh,max_soc_residual_kwh,constraint_violation_count,solver_method,tiebreak
q3,S2,all_three,334,6000.0,6000.0,12242712.533235967,725949.2739568896,3694438.629088855,16663100.43628171,16453262.396763531,914743.7679044282,2513388.887228768,775.8405808409607,1002,6.947528971876527e-13,2.6147972675971687e-12,0,highs,1e-10
q3,S2,all_three,334,6000.0,6000.0,12242712.533235967,725949.2739568895,3694438.629088855,16663100.43628171,16453262.396763531,914743.7679044282,2513384.6724405526,774.9144883869667,1002,6.947528971876527e-13,3.524291969370097e-12,0,highs,1e-09
q3,S2,all_three,334,6000.0,6000.0,12242712.533235965,726177.3995997211,3693596.783746759,16662486.716582447,16452420.551421436,914652.6626101214,2516097.455299346,778.608576160037,1002,2.7284841053187847e-12,1.311946107307449e-10,0,highs,1e-08
q3,S2,all_three,334,6000.0,6000.0,12242712.533235967,725949.2739568896,3694438.629088855,16663100.43628171,16453262.396763531,914743.7679044282,2513388.887228768,776.8743101370073,1002,6.947528971876527e-13,2.6147972675971687e-12,0,highs-ds,1e-10
q3,S2,all_three,334,6000.0,6000.0,12242712.533235967,725949.2739568895,3694438.629088855,16663100.43628171,16453262.396763531,914743.7679044282,2513384.6724405526,634.9119185050458,1002,6.947528971876527e-13,3.524291969370097e-12,0,highs-ds,1e-09
q3,S2,all_three,334,6000.0,6000.0,12242712.533235965,726177.3995997211,3693596.783746759,16662486.716582447,16452420.551421436,914652.6626101214,2516097.455299346,640.1756160799869,1002,2.7284841053187847e-12,1.311946107307449e-10,0,highs-ds,1e-08
q3,S2,all_three,334,6000.0,6000.0,12243346.093376478,756323.713045537,3690352.5730073755,16690022.37942939,16449489.715486435,909949.1461691107,2525777.2777825305,1528.6225320440026,1002,7.452803806194822e-13,1.0231815394945443e-12,0,highs-ipm,1e-10
q3,S2,all_three,334,6000.0,6000.0,12243342.63063846,756469.974575395,3692087.3138359357,16691899.919049792,16451220.993576977,910304.6349468555,2525478.126945638,1529.7778686329948,1002,1.51582450295488e-12,1.0231815394945443e-12,0,highs-ipm,1e-09
q3,S2,all_three,334,6000.0,6000.0,12243349.38510475,756367.4023090001,3692436.803540563,16692153.590954313,16451577.237747895,910356.6831813374,2525581.821731397,1510.8268529260113,1002,7.958078640513122e-13,1.0231815394945443e-12,0,highs-ipm,1e-08
q3,S3,all_three,334,6000.0,6000.0,12242712.533235967,727140.2436584198,3692285.887317219,16662138.664211605,16457572.004125766,914394.1682122811,2513561.6013476164,870.1748650999925,1336,6.947528971876527e-13,1.7621459846850485e-12,0,highs,1e-10
q3,S3,all_three,334,6000.0,6000.0,12242712.533235967,727140.2436584198,3692285.887317219,16662138.664211605,16457572.004125766,914394.1682122811,2513557.3865594007,680.0102187039756,1336,6.947528971876527e-13,3.524291969370097e-12,0,highs,1e-09
q3,S3,all_three,334,6000.0,6000.0,12242712.533235965,727373.7940461383,3692283.604066463,16662369.931348568,16457569.72087501,914349.2687495239,2516236.9988004416,681.7161432599823,1336,2.7284841053187847e-12,1.311946107307449e-10,0,highs,1e-08
q3,S3,all_three,334,6000.0,6000.0,12242712.533235967,727140.2436584198,3692285.887317219,16662138.664211605,16457572.004125766,914394.1682122811,2513561.6013476164,632.4007131050294,1336,6.947528971876527e-13,1.7621459846850485e-12,0,highs-ds,1e-10
