mode,month,cost,emergency_cost,emergency_kwh,unused_kwh,throughput_kwh,low_soc_fraction
q2,2025-02,1271253.271443318,26645.529121390955,7258.891859722215,217644.3836389404,1154336.1847904776,0.06671626984126984
q2,2025-03,1219470.4696263117,108911.87713769372,28921.409729166648,252558.83678713994,1156274.913905813,0.08198924731182795
q2,2025-04,1020555.8414724636,87560.82114581871,23547.681512499985,303091.59565073415,1063568.6641631224,0.10648148148148148
q2,2025-05,1093972.7112923854,131325.96474051246,31755.203979166658,366949.2386893519,1037184.1504735163,0.10797491039426524
q2,2025-06,1557658.8215877376,227316.70011339893,57229.80875948094,340891.281025392,1128197.0522164702,0.05949074074074074
q2,2025-07,1636764.0188680924,118145.11883465243,32639.495939609034,390546.17807119346,1175997.0620968107,0.07078853046594982
q2,2025-08,1401723.3774763714,91698.5576686961,23760.130905041668,428350.3051766287,1100651.8362410343,0.10483870967741936
q2,2025-09,1255893.8016562946,112261.21122097915,29439.319712499993,385720.57175416674,1096953.5100653807,0.10856481481481481
q2,2025-10,1219917.7923151446,111746.9537193791,28205.191849999977,279004.5968922969,1149799.6499971836,0.09722222222222222
q2,2025-11,1322561.8308879454,53218.854665554114,15052.369687499979,173259.56287146974,1214611.6237420458,0.06157407407407407
q2,2025-12,1795177.786676919,97487.84270140895,26573.047997993803,233845.42985000004,1372798.8128503095,0.06496415770609319
q4_2,2025-02,1340640.5099253817,27160.093462019417,7316.712338888878,218615.07474588486,1163637.4648699379,0.08085317460317461
q4_2,2025-03,1225926.564545134,117923.23786655208,28729.39114583332,253812.28094151392,1168691.8473684255,0.08669354838709678
q4_2,2025-04,998118.9882838185,87909.44227552289,23212.875633333315,304602.40446562506,1079465.592654924,0.10949074074074074
q4_2,2025-05,1067105.4390585208,123414.27278368952,31427.229404166654,367627.8598666667,1055573.3417253317,0.11133512544802868
q4_2,2025-06,1660410.0895773065,241622.7475037142,57163.51092579165,345268.504407767,1126624.4465731494,0.06273148148148149
q4_2,2025-07,1871138.9278183132,133158.05799087702,32188.02458333331,396428.1924761935,1195355.9717073226,0.07907706093189965
q4_2,2025-08,1550511.2253349414,96365.13783506928,22995.975958583324,432526.02547979436,1133538.839661324,0.10931899641577061
q4_2,2025-09,1263687.1945069195,109332.24429171247,28824.72292499998,390267.6028911524,1110143.8021340482,0.11481481481481481
q4_2,2025-10,1217333.2441159545,114752.8023647541,28210.705137499976,279718.1701214636,1184734.3310719263,0.10371863799283154
q4_2,2025-11,1383058.1303258361,56940.2525936062,15255.767966666644,173769.2933186364,1172395.8322062022,0.06712962962962964
q4_2,2025-12,2045204.5187941873,116430.55110095492,26522.653758958313,235200.48849583342,1345463.577705702,0.06563620071684588
q3,2025-02,1378152.046487797,143875.02735037898,33432.04647893587,190320.93137551704,1131386.9341122946,0.05828373015873016
q3,2025-03,1311677.0454406354,176856.92902480226,42305.777783898666,257627.49781046252,1157562.400167611,0.0678763440860215
q3,2025-04,1115950.9693586265,167757.08575697293,39384.06765115792,308335.4908665981,1050545.4325397718,0.0837962962962963
q3,2025-05,1159026.801262951,187036.10245818528,43398.797034931056,359696.58133389766,1035593.4612066426,0.08490143369175628
q3,2025-06,1505530.7150251437,183450.49229371143,44482.62138923456,281330.55065351375,1127594.7954672377,0.059953703703703703
q3,2025-07,1715803.914116931,202650.98444882454,51414.1448565317,352613.0146545711,1159409.1359078886,0.06698028673835126
q3,2025-08,1460836.063202608,136022.09200774753,31357.69914535356,417554.7111175565,1085582.6817343817,0.09968637992831542
q3,2025-09,1375302.56896889,202109.04964064943,47437.73804494805,405869.7341261753,1084012.3397104286,0.09699074074074074
q3,2025-10,1334589.7090315083,210043.6323368646,48074.74983487943,275652.740959355,1150746.0426194891,0.06899641577060932
q3,2025-11,1429223.6792504443,150721.79210557928,35539.69774270711,184623.4189099191,1204534.9613955028,0.059953703703703703
q3,2025-12,1846391.964457923,179106.6881849411,44685.40751003565,180154.52844989786,1359529.3479361483,0.06003584229390681
q4_3,2025-02,1454792.3774528538,152756.58337558334,33439.501729401396,188685.87825875467,1140111.418273924,0.061755952380952384
q4_3,2025-03,1313197.1809633176,178473.9291182236,42668.982886816346,254621.27396961924,1166255.7166547514,0.08064516129032258
q4_3,2025-04,1085659.33372596,160118.48587262482,39422.10870239658,308571.92828620906,1064129.8620204993,0.0875
q4_3,2025-05,1129951.7218372445,176968.19037872984,43318.19147387722,358453.2163819544,1050207.1957165455,0.09543010752688172
q4_3,2025-06,1598728.6496311962,188701.74131485325,43851.11535075874,272759.0340102135,1135880.6130341822,0.06273148148148149
q4_3,2025-07,1952218.6533965822,224931.7386658917,52118.575731664234,347498.58639265335,1182746.3849858025,0.08042114695340502
q4_3,2025-08,1607695.3411449993,139230.42394980195,31190.138260724787,419298.71104392083,1118514.2278957549,0.10618279569892473
q4_3,2025-09,1381271.9172583832,199160.20610824536,47018.23165801405,408918.4811160816,1099262.9721613065,0.10277777777777777
q4_3,2025-10,1330325.6522073075,209661.82148127307,47999.1582696699,274969.1405846513,1172497.9517525295,0.07370071684587813
q4_3,2025-11,1497069.9177189313,161948.5336403094,35835.651789089985,183607.82717896265,1172569.199208214,0.06550925925925925
q4_3,2025-12,2104869.8500972716,211013.95243877938,44238.75406907217,181955.95177389734,1322549.9963930682,0.06093189964157706
