mode,date,issue,parameter,ratio,parameter_value,base_objective,objective,objective_change_pct,grid_l1_kwh,soc_max_change_kwh,balance_residual,soc_residual
q3,2025-03-20,0,terminal_multiplier,0.8,0.8,46625.13853937845,46625.13853937845,0.0,0.0,0.0,2.1600499167107046e-12,9.663381206337363e-13
q3,2025-03-20,0,terminal_multiplier,0.9,0.9,46625.13853937845,46625.13853937845,0.0,0.0,0.0,2.1600499167107046e-12,9.663381206337363e-13
q3,2025-03-20,0,terminal_multiplier,1.0,1.0,46625.13853937845,46625.13853937845,0.0,0.0,0.0,2.1600499167107046e-12,9.663381206337363e-13
q3,2025-03-20,0,terminal_multiplier,1.1,1.1,46625.13853937845,46625.13853937845,0.0,0.0,0.0,2.1600499167107046e-12,9.663381206337363e-13
q3,2025-03-20,0,terminal_multiplier,1.2,1.2,46625.13853937845,46625.13853937845,0.0,0.0,0.0,2.1600499167107046e-12,9.663381206337363e-13
q3,2025-03-20,0,power_kw,0.8,4000.0,46625.13853937845,53040.186659386025,13.758775460987822,0.0,1143.1008976543199,2.2737367544323206e-13,1.0231815394945443e-12
q3,2025-03-20,0,power_kw,0.9,4500.0,46625.13853937845,47987.27635966848,2.92146653706906,0.0,687.1835025,1.1368683772161603e-13,9.094947017729282e-13
q3,2025-03-20,0,power_kw,1.0,5000.0,46625.13853937845,46625.13853937845,0.0,0.0,0.0,2.1600499167107046e-12,9.663381206337363e-13
q3,2025-03-20,0,power_kw,1.1,5500.0,46625.13853937845,46616.363005428815,-0.01882146461017241,0.0,198.94343375000017,7.958078640513122e-13,9.663381206337363e-13
q3,2025-03-20,0,power_kw,1.2,6000.0,46625.13853937845,46616.363005428815,-0.01882146461017241,0.0,198.94343375000017,7.958078640513122e-13,9.663381206337363e-13
q3,2025-03-20,6,terminal_multiplier,0.8,0.8,39542.34156514153,39542.34156514153,0.0,0.0,0.0,7.958078640513122e-13,9.094947017729282e-13
q3,2025-03-20,6,terminal_multiplier,0.9,0.9,39542.34156514153,39542.34156514153,0.0,0.0,0.0,7.958078640513122e-13,9.094947017729282e-13
q3,2025-03-20,6,terminal_multiplier,1.0,1.0,39542.34156514153,39542.34156514153,0.0,0.0,0.0,7.958078640513122e-13,9.094947017729282e-13
q3,2025-03-20,6,terminal_multiplier,1.1,1.1,39542.34156514153,39542.34156514153,0.0,0.0,0.0,7.958078640513122e-13,9.094947017729282e-13
q3,2025-03-20,6,terminal_multiplier,1.2,1.2,39542.34156514153,39542.34156514153,0.0,0.0,0.0,7.958078640513122e-13,9.094947017729282e-13
q3,2025-03-20,6,power_kw,0.8,4000.0,39542.34156514153,40930.904081295375,3.5115839406382734,7044.2528890432095,963.9257962500005,2.2737367544323206e-13,9.094947017729282e-13
q3,2025-03-20,6,power_kw,0.9,4500.0,39542.34156514153,39681.214990766726,0.3512018260133152,2778.4341513888894,536.0742037499995,2.2737367544323206e-13,9.094947017729282e-13
q3,2025-03-20,6,power_kw,1.0,5000.0,39542.34156514153,39542.34156514153,0.0,0.0,0.0,7.958078640513122e-13,9.094947017729282e-13
q3,2025-03-20,6,power_kw,1.1,5500.0,39542.34156514153,39520.74564841816,-0.05461466334206013,1583.0688305555566,600.0,7.958078640513122e-13,9.094947017729282e-13
q3,2025-03-20,6,power_kw,1.2,6000.0,39542.34156514153,39508.32091115104,-0.08603601264847979,2228.9853388888905,766.5884562500005,7.958078640513122e-13,9.094947017729282e-13
q3,2025-03-20,12,terminal_multiplier,0.8,0.8,38489.22193176292,38489.22193176292,0.0,0.0,0.0,7.958078640513122e-13,9.094947017729282e-13
q3,2025-03-20,12,terminal_multiplier,0.9,0.9,38489.22193176292,38489.22193176292,0.0,0.0,0.0,7.958078640513122e-13,9.094947017729282e-13
q3,2025-03-20,12,terminal_multiplier,1.0,1.0,38489.22193176292,38489.22193176292,0.0,0.0,0.0,7.958078640513122e-13,9.094947017729282e-13
q3,2025-03-20,12,terminal_multiplier,1.1,1.1,38489.22193176292,38489.22193176292,0.0,0.0,0.0,7.958078640513122e-13,9.094947017729282e-13
q3,2025-03-20,12,terminal_multiplier,1.2,1.2,38489.22193176292,38489.22193176292,0.0,0.0,0.0,7.958078640513122e-13,9.094947017729282e-13
q3,2025-03-20,12,power_kw,0.8,4000.0,38489.22193176292,39869.604346661145,3.5864128855228095,7065.981941666667,1349.9943750000002,2.2737367544323206e-13,9.094947017729282e-13
