parameter,ratio,instances,mean_objective_change_pct,max_abs_objective_change_pct,max_grid_l1_kwh,max_soc_change_kwh,max_balance_residual,max_soc_residual
terminal_multiplier,0.8,32,-0.35482299572652354,1.8332366147998431,5333.333333333334,4800.0,2.1600499167107046e-12,1.0231815394945443e-12
terminal_multiplier,0.9,32,-0.16793573154746488,0.9139255916122563,5090.875202314814,4737.1560175,2.1600499167107046e-12,1.0231815394945443e-12
terminal_multiplier,1.0,32,0.0,0.0,0.0,0.0,2.1600499167107046e-12,1.0231815394945443e-12
terminal_multiplier,1.1,32,0.0690562898979739,0.832700919857192,4578.705680727022,4800.0,2.1600499167107046e-12,1.0231815394945443e-12
terminal_multiplier,1.2,32,0.0745850470177146,0.9252180661721492,4578.705680727022,4800.0,2.1600499167107046e-12,1.0231815394945443e-12
power_kw,0.8,32,5.624138102373053,15.226910934270059,13247.955320833336,1863.2708225308652,4.263256414560601e-13,1.0231815394945443e-12
power_kw,0.9,32,1.2524455606289286,3.5815711554589393,5696.3299625,914.6077060493808,4.263256414560601e-13,1.0231815394945443e-12
power_kw,1.0,32,0.0,0.0,0.0,0.0,2.1600499167107046e-12,1.0231815394945443e-12
power_kw,1.1,32,-0.09774019318449982,0.4880956043670651,4474.910070833331,899.9999999999982,7.958078640513122e-13,1.0231815394945443e-12
power_kw,1.2,32,-0.15221453467613213,0.7280612988733319,8162.109193055552,1350.0,7.958078640513122e-13,1.0231815394945443e-12
