date,mode,scenario,model_arm,days,initial_soc_kwh,terminal_soc_kwh,plan_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,final_relative_cost_yuan,sequential_cost_yuan,emergency_kwh,unused_surplus_kwh
2025-02-01,q3,S2,joint_empirical,1,6000.0,6012.9291275000005,26207.024743890775,-920.8024130973746,3280.8577899777792,28567.08012077118,29136.531786359745,671.0720805555559,8778.19472777778
2025-02-02,q3,S2,joint_empirical,1,6012.9291275000005,6012.8837650000005,60082.108997587915,-937.6470271422685,1935.5134598852737,61079.9754303309,61157.28644598409,389.03766272222117,9389.308746262
2025-02-03,q3,S2,joint_empirical,1,6012.8837650000005,6028.180756250001,61707.79801788263,-1828.3602612530024,2827.6522812568414,62707.09003788647,62759.8502393623,655.0216731666684,7974.01949583334
2025-02-04,q3,S2,joint_empirical,1,6028.180756250001,6021.0540225,63553.82951227279,-1522.8889430517027,1684.5193778395872,63715.459947060684,63745.054921546514,416.40051944444525,9582.92405972222
2025-02-05,q3,S2,joint_empirical,1,6021.0540225,6024.605674999999,59525.73720553966,-216.99252204659308,2581.3604480791646,61890.10513157222,61890.10513157222,570.9731263888883,8158.402450840194
2025-02-06,q3,S2,joint_empirical,1,6024.605674999999,6025.37177,63394.4205622622,-2372.960325161805,2867.654785634023,63889.11502273442,63889.11502273442,633.3263736111097,8496.519248611117
2025-02-07,q3,S2,joint_empirical,1,6025.37177,6012.36423875,25681.204344071713,-1074.4371609906523,1374.174274783335,25980.941457864406,25980.941457864406,308.2796472222225,9848.980466805559
2025-02-08,q3,S2,joint_empirical,1,6012.36423875,6019.6197725,21290.911127934105,174.03062904333277,5852.487522759409,27317.42927973685,27450.33350083227,1235.1034340138867,7235.030661361104
2025-02-09,q3,S2,joint_empirical,1,6019.6197725,6015.838409999999,59735.53553449118,-740.3172408676472,1682.6683539739638,60677.88664759748,60677.88664759748,397.08181875000105,8270.705376486114
2025-02-10,q3,S2,joint_empirical,1,6015.838409999999,6015.84122875,56268.69071204515,-1606.7437849416963,3592.5998800638845,58254.54680716734,59924.31630411066,820.3704944444431,6744.826774333338
2025-02-11,q3,S2,joint_empirical,1,6015.84122875,6010.44718125,56842.14972344433,-1943.1215163416284,5074.056591122218,59973.0847982249,60073.329545735054,1092.935469444444,6291.882191083672
2025-02-12,q3,S2,joint_empirical,1,6010.44718125,6017.5710800000015,56983.94248150317,-2034.4352079245562,4447.5716138395865,59397.07888741822,59408.333410378356,933.2015861111119,5828.997618055558
2025-02-13,q3,S2,joint_empirical,1,6017.5710800000015,6007.849488750001,52626.59268753446,-1092.1981702100884,4376.571643068061,55910.96616039243,56399.41056220139,930.6553569444454,6733.233535798021
2025-02-14,q3,S2,joint_empirical,1,6007.849488750001,6005.92984625,20948.62965822025,84.7444868978621,3144.3195764916627,24177.69372160978,24219.956365463946,683.0718305555547,7606.226221946846
2025-02-15,q3,S2,joint_empirical,1,6005.92984625,6011.006656250001,21181.303184905973,-234.85627377368016,4681.849440452077,25628.29635158437,25809.935574843676,1108.6855611111096,8492.989313220172
2025-02-16,q3,S2,joint_empirical,1,6011.006656250001,6012.44871125,56066.18667465249,-2560.0503138267536,7871.143481729859,61377.27984255558,61393.2445979778,1874.5270430555545,4208.466066666671
2025-02-17,q3,S2,joint_empirical,1,6012.44871125,6014.07104,55142.67015286302,-2787.1358857385885,4417.600854861112,56773.135121985535,56773.135121985535,1044.7943875000003,5776.927613185871
2025-02-18,q3,S2,joint_empirical,1,6014.07104,6019.248191249999,49069.734943948664,253.27169275120713,7885.640198208622,57208.64683490848,57208.64683490848,1901.3360161711269,4839.763727777782
2025-02-19,q3,S2,joint_empirical,1,6019.248191249999,6010.2009825,49176.72968884612,135.17977911420232,7589.598018653506,56901.507486613846,56901.507486613846,1915.6687867361106,3890.917433333332
2025-02-20,q3,S2,joint_empirical,1,6010.2009825,6013.34572125,50680.03565819255,-759.9727021296956,5649.2268972290885,55569.28985329194,56007.88294740693,1281.8139684722198,5331.9466791666655
2025-02-21,q3,S2,joint_empirical,1,6013.34572125,6010.9270425,18384.310711496542,39.15361438483346,5036.175583113779,23459.63990899516,23459.63990899516,1286.2261078194438,7991.64354861111
2025-02-22,q3,S2,joint_empirical,1,6010.9270425,6019.744826249999,18194.550079936507,2.972880911591325,7755.907998531245,25953.430959379344,26151.810463127433,1866.4167833333322,5609.614568227029
