date,mode,scenario,model_arm,days,initial_soc_kwh,terminal_soc_kwh,plan_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,final_relative_cost_yuan,sequential_cost_yuan,emergency_kwh,unused_surplus_kwh
2025-02-01,q4_3,S3,joint_empirical,1,6000.0,6025.875771033951,21333.73656061423,-779.3029421495208,2910.7991016263904,23465.23272009111,23847.42788342157,671.0720805555559,8737.346156944448
2025-02-02,q4_3,S3,joint_empirical,1,6025.875771033951,6008.845485,66576.5526866816,-1160.6786970582068,2328.380642508858,67744.25463213226,67801.88752660363,405.21821549999925,9286.727443535668
2025-02-03,q4_3,S3,joint_empirical,1,6008.845485,6000.0,69901.22100677587,-2262.33632527847,3408.842380574953,71047.72706207237,71108.09008450933,659.0198940000017,7844.735888888892
2025-02-04,q4_3,S3,joint_empirical,1,6000.0,6000.0,72037.35019792069,-1995.514858818148,2285.6356340276366,72327.47097313018,72361.59268508546,466.9354674382732,9224.480521083333
2025-02-05,q4_3,S3,joint_empirical,1,6000.0,6002.319855,66945.74924599718,-243.16673823448912,3083.962608396231,69786.54511615893,69786.54511615893,571.538386848423,8021.494970833333
2025-02-06,q4_3,S3,joint_empirical,1,6002.319855,5999.98850625,71757.23500807668,-2976.9213916744443,3601.4985652388823,72381.81218164117,72381.81218164117,655.5145069444433,8352.20137980556
2025-02-07,q4_3,S3,joint_empirical,1,5999.98850625,6000.0,20772.40422714186,-848.0981910575948,1153.993445969446,21078.299482053706,21078.299482053706,300.24421944444475,9902.510898611117
2025-02-08,q4_3,S3,joint_empirical,1,6000.0,6026.829865478395,17196.559975528748,153.7719018080361,4919.533686323143,22269.865563659932,22374.726518958614,1199.6830824074057,7349.287740277778
2025-02-09,q4_3,S3,joint_empirical,1,6026.829865478395,6002.040785,66889.79631828617,-848.1013883698123,1990.472573486729,68032.16750340308,68032.16750340308,406.06411023662565,8313.885852571675
2025-02-10,q4_3,S3,joint_empirical,1,6002.040785,6004.281375,61001.37042052094,-1863.2632113886268,4284.4310911604125,63422.53830029274,65343.591513063504,869.6214249999987,6745.18070586626
2025-02-11,q4_3,S3,joint_empirical,1,6004.281375,6000.0,62390.72504258637,-2123.9980049932474,5702.562672090964,65969.28970968409,66108.268485992,1064.8015402777767,6353.022487088476
2025-02-12,q4_3,S3,joint_empirical,1,6000.0,6007.431591250001,62254.009624836064,-2326.0131898764525,5042.700093636808,64970.696528596425,65012.572088287256,933.2015861111119,5752.67796527778
2025-02-13,q4_3,S3,joint_empirical,1,6007.431591250001,5998.935351851852,56584.918184720176,-1264.1251017562215,5060.875596693755,60381.66867965773,61001.09161399802,949.5435958333339,6571.255996208338
2025-02-14,q4_3,S3,joint_empirical,1,5998.935351851852,6000.0,16872.569029060815,5.778953406605112,2545.881891715274,19424.2298741827,19456.883272001865,669.0893847222217,7438.319546382031
2025-02-15,q4_3,S3,joint_empirical,1,6000.0,6014.392060817901,17468.95795532854,-457.4188300265274,4129.4438628361095,21140.982988138112,21289.61968176103,1152.3998111111102,7045.0282481653
2025-02-16,q4_3,S3,joint_empirical,1,6014.392060817901,6000.0,61690.667253979846,-3034.1619476671444,9423.563606541664,68080.06891285437,68113.98735833618,1971.4352611111108,4029.889264797674
2025-02-17,q4_3,S3,joint_empirical,1,6000.0,6000.0,60370.54310509912,-3306.5669926281103,4861.91606878056,61925.89218125158,61926.4673911226,1041.1268916666672,5455.8341541666705
2025-02-18,q4_3,S3,joint_empirical,1,6000.0,6000.0,52297.19270685204,607.2225770882699,8833.269461935413,61737.68474587572,61737.68474587572,1931.4112999999995,4773.371847222221
2025-02-19,q4_3,S3,joint_empirical,1,6000.0,6003.8760525,52494.84934050916,111.99122731710824,9166.41575488958,61773.25632271584,61773.25632271584,2107.3087499999992,3680.072427555555
2025-02-20,q4_3,S3,joint_empirical,1,6003.8760525,5978.6293842592595,54773.14672075851,-870.1770883686622,6611.578525797204,60514.548158187055,61015.535489170616,1326.7136736111072,5177.509448638892
2025-02-21,q4_3,S3,joint_empirical,1,5978.6293842592595,6000.0,15016.08298150014,59.864315821877,4150.233919056246,19226.18121637826,19226.18121637826,1270.3555430555539,8195.746757819445
2025-02-22,q4_3,S3,joint_empirical,1,6000.0,6019.10029875,15074.160744158122,0.9061888407147052,6450.641603268747,21525.708536267583,21657.553713088735,1796.522301388888,5447.433518375004
2025-02-23,q4_3,S3,joint_empirical,1,6019.10029875,6000.0,52987.761646956285,-211.20553267322703,11671.329424824766,64447.885539107854,64508.79849409601,2528.0864824931396,4406.394977722224
2025-02-24,q4_3,S3,joint_empirical,1,6000.0,6000.0,51508.25612362068,218.50724396583334,7658.906036836118,59385.669404422675,59623.833558469516,1508.0027055555565,6415.6172884945145
2025-02-25,q4_3,S3,joint_empirical,1,6000.0,6003.8985,52085.95254318012,-2139.791726238248,8301.705872997223,58247.86668993908,58286.880907798906,1780.7158722222225,6362.060582277782
2025-02-26,q4_3,S3,joint_empirical,1,6003.8985,6000.0,47267.95133727981,1985.3214238593346,9894.404971011112,59147.67773215027,59152.89752812345,2122.349783333332,3666.5369595336106
2025-02-27,q4_3,S3,joint_empirical,1,6000.0,5996.425623749999,47848.651436242115,-68.24391140933275,8762.688063308193,56543.095588140975,56681.028385413614,1756.9350434096411,5116.1361125555595
2025-02-28,q4_3,S3,joint_empirical,1,5996.425623749999,6000.0,14164.736662165282,108.4082284519961,4981.985005705091,19255.129896322367,19267.58878950542,1398.2085526234564,9094.736855555562
2025-03-01,q4_3,S3,joint_empirical,1,6000.0,6018.9989475,15888.290267274739,-687.5251489389381,2654.141068123609,17854.906186459415,17860.98646889719,1008.3337916666667,9221.10734861111
2025-03-02,q4_3,S3,joint_empirical,1,6018.9989475,6000.0,54989.96126072991,1831.2925498316013,4499.289266234718,61320.54307679625,61374.420311228314,908.9119277777768,7457.3624644890315
2025-03-03,q4_3,S3,joint_empirical,1,6000.0,6000.0,57110.91610417631,-820.1627697276924,4842.086724514595,61132.84005896319,61742.67544661693,1070.9187194444464,6170.707849999999
2025-03-04,q4_3,S3,joint_empirical,1,6000.0,6000.0,49638.814505656184,1331.5788127526496,7090.291792439575,58060.68511084841,58060.68511084841,1642.7878180555538,5302.597942438271
2025-03-05,q4_3,S3,joint_empirical,1,6000.0,6000.856057499999,51641.29427371264,-1476.0453931456689,4612.860484906956,54778.10936547392,54935.84202122905,1025.8513902777797,7044.644692069447
2025-03-06,q4_3,S3,joint_empirical,1,6000.856057499999,5991.288064166667,48339.577262809726,378.48082250948715,4517.500313766674,53235.55839908591,53430.68210042874,991.847927777779,6266.419980555554
2025-03-07,q4_3,S3,joint_empirical,1,5991.288064166667,5998.5537075,14539.475979474115,-377.1043370695452,2024.6563578041682,16187.028000208738,16187.028000208738,651.9439569444451,10212.065619944442
2025-03-08,q4_3,S3,joint_empirical,1,5998.5537075,6020.204870694444,13566.328261291392,24.076250078333135,2242.7106163577737,15833.1151277275,15833.1151277275,688.6543151920429,11412.69035177057
2025-03-09,q4_3,S3,joint_empirical,1,6020.204870694444,6001.0862962500005,49711.591039055995,-1864.1975206783306,5575.826827027482,53423.220345405134,54775.388859369414,1336.900377249998,6363.660439180559
2025-03-10,q4_3,S3,joint_empirical,1,6001.0862962500005,6000.0,49024.208751198086,306.5602120767902,8788.317068424305,58119.086031699175,58149.84695687581,1948.7987597222218,5161.333044402784
2025-03-11,q4_3,S3,joint_empirical,1,6000.0,6000.0,42341.23947331722,4403.261049009755,7551.339318232633,54295.8398405596,56035.36186468935,1642.4118611111098,5311.278177897813
2025-03-12,q4_3,S3,joint_empirical,1,6000.0,6000.0,48719.958004164175,-1723.5028633162333,5204.12104669652,52200.576187544466,53622.04416185101,1214.6600611111082,6614.865675000005
2025-03-13,q4_3,S3,joint_empirical,1,6000.0,5994.866097222222,50178.916049926775,-24.46384924428045,6237.867406656402,56392.3196073389,56650.49673984884,1331.712890527774,6383.435752902786
2025-03-14,q4_3,S3,joint_empirical,1,5994.866097222222,6000.0,12863.354263365572,169.15588485708315,3118.6423117520867,16151.15245997474,16174.846753257074,883.7836319444455,14140.477953446503
2025-03-15,q4_3,S3,joint_empirical,1,6000.0,6023.545125694444,13136.669928699543,494.73723760024876,3619.2002071993097,17250.607373499104,17406.49335478434,1053.5982694444456,9771.976852692043
2025-03-16,q4_3,S3,joint_empirical,1,6023.545125694444,6000.0,46325.279182085265,-308.3212353489098,6678.099674715969,52695.05762145232,52936.359950928454,1357.0655361111108,6038.629845819448
2025-03-17,q4_3,S3,joint_empirical,1,6000.0,6000.0,41517.07209803278,-660.2255687336094,9112.055586386808,49968.90211568599,50384.97158500073,1953.2229986111113,5192.510594444443
2025-03-18,q4_3,S3,joint_empirical,1,6000.0,6000.0,48867.488550455826,-2104.403163342308,4165.697356908341,50928.78274402187,51385.01150296087,915.8406277777792,7168.788890277785
2025-03-19,q4_3,S3,joint_empirical,1,6000.0,6000.0,39536.68988881113,2485.1813173889436,10287.511532429162,52309.38273862923,53481.111053016386,2260.92065972222,5525.267772222223
2025-03-20,q4_3,S3,joint_empirical,1,6000.0,5992.429226527777,45441.75035927513,-1566.3593306400812,10934.136577587506,54809.52760622255,55783.06987895225,2508.717093055556,4142.746802777786
2025-03-21,q4_3,S3,joint_empirical,1,5992.429226527777,5995.1247975,12149.934203580695,0.0,3700.9641233111156,15850.898326891807,15933.71160890917,1166.184747222223,16429.785541361107
2025-03-22,q4_3,S3,joint_empirical,1,5995.1247975,6021.985341944444,12989.279195245797,-39.262374066666666,2711.0404907916645,15661.057311970795,15664.378308415238,926.1310222222207,13480.12117256824
2025-03-23,q4_3,S3,joint_empirical,1,6021.985341944444,6000.0,45895.85711389534,-1525.781418192375,4971.359778289811,49341.435473992766,49341.435473992766,1102.3631651805547,7808.385900000001
2025-03-24,q4_3,S3,joint_empirical,1,6000.0,5993.980125,42925.09988537692,-498.40442490856714,7789.376622154864,50216.07208262323,50640.816152738334,1863.3872499999998,6563.93760694445
2025-03-25,q4_3,S3,joint_empirical,1,5993.980125,6000.0,47876.38192941516,-2820.696737837599,6055.46446404521,51111.149655622794,51594.21373631386,1514.8717737139905,4847.205550000002
2025-03-26,q4_3,S3,joint_empirical,1,6000.0,6000.0,40782.82382968898,-622.8057905356833,5907.882176081218,46067.90021523452,46067.90021523452,1289.4853923696846,6034.1754958333395
2025-03-27,q4_3,S3,joint_empirical,1,6000.0,5976.31879125,43334.17114445331,-1616.9685846883265,8761.013547711958,50478.21610747694,51129.63135821519,2071.092899914265,5331.53891527778
2025-03-28,q4_3,S3,joint_empirical,1,5976.31879125,6000.0,12616.963001766386,-11.888295870054995,2153.7678345937475,14758.842540490085,14758.945693190084,672.8023458333319,18536.009606566866
