comparison,date,plan_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,final_relative_cost_yuan,emergency_kwh,unused_surplus_kwh,meaning
q3 minus q2,2025-06-01,11431.387031493563,-2255.3447948145845,-24134.32186206605,-14958.279625387077,-6317.044288430551,4418.157035319444,"accounting decomposition, not a causal forecast-value estimate"
q3 minus q2,2025-05-02,1563.798285551944,-98.48964866208267,-14095.307788014592,-12629.999151124728,-3217.9814375000024,-1086.9887256687125,"accounting decomposition, not a causal forecast-value estimate"
q3 minus q2,2025-09-29,3381.4430840567875,-2369.242977307875,9629.31339085569,10641.513497604596,2263.8492254861103,103.55863611111181,"accounting decomposition, not a causal forecast-value estimate"
q3 minus q2,2025-06-02,11547.712310112773,-3643.0729353786314,-18100.150884327755,-10195.51150959362,-4261.9026051388855,1511.996952333338,"accounting decomposition, not a causal forecast-value estimate"
q3 minus q2,2025-10-09,4778.539046542937,-3742.4949693278227,8374.5140546382,9410.558131853308,1828.457369444446,-2224.1749041666617,"accounting decomposition, not a causal forecast-value estimate"
q4_3 minus q4_2,2025-06-01,13346.699638735146,-2465.5515833618742,-30073.484733114383,-19192.3366777411,-6748.690728463643,4452.3305940416685,"accounting decomposition, not a causal forecast-value estimate"
q4_3 minus q4_2,2025-06-02,12579.809894365964,-3794.393186449239,-21962.08732138446,-13176.670613467737,-4492.802691861109,1533.0656412222238,"accounting decomposition, not a causal forecast-value estimate"
q4_3 minus q4_2,2025-09-29,3413.6841736618226,-2420.2402935416126,10653.44402681258,11646.887906932789,2482.4779185416683,42.87212777777768,"accounting decomposition, not a causal forecast-value estimate"
q4_3 minus q4_2,2025-03-03,9477.804537785021,-820.1627697276923,-18582.40740974582,-9924.765641688486,-3833.672459722219,3806.6971583333325,"accounting decomposition, not a causal forecast-value estimate"
q4_3 minus q4_2,2025-12-07,3708.540303169575,-2652.1192326749174,8826.874470921974,9883.295541416635,1839.7202939300423,-7.113842416667012,"accounting decomposition, not a causal forecast-value estimate"
