phase,mode,variant,reference,variant_minus_reference_yuan,reference_saving_vs_variant_yuan,reference_saving_vs_variant_percent,variant_cost_change_percent
formal,q2,count10_span10,reference,-138585.1589355003,-138585.1589355003,-0.9455629895590083,-0.9367058457604617
formal,q2,count10_span20,reference,123119.52393794619,123119.52393794619,0.8253046818422358,0.8321726416144904
formal,q2,count40_span40,reference,145717.10474208184,145717.10474208184,0.975305228469166,0.9849111180997672
formal,q2,raw_history,reference,2400098.7780826,2400098.7780826,13.958080885257166,16.22241929151197
formal,q2,reference,reference,0.0,0.0,0.0,0.0
formal,q2,shuffle_20260913,reference,16024.702353755012,16024.702353755012,0.10819478781892809,0.10831197573125301
formal,q2,shuffle_20260914,reference,15946.863868119195,15946.863868119195,0.10766980765993629,0.10778586048860898
formal,q2,shuffle_20260915,reference,24054.67935323529,24054.67935323529,0.1623231810965899,0.16258709764554077
formal,q2,shuffle_20260916,reference,19290.982468262315,19290.982468262315,0.1302191779612913,0.1303889694054032
formal,q2,shuffle_20260917,reference,24482.370310550556,24482.370310550556,0.1652045109144316,0.16547788784972528
formal,q2,terminal_0,reference,14043.376634314656,14043.376634314656,0.09483005724659373,0.09492007000331638
formal,q2,terminal_05,reference,14043.376634314656,14043.376634314656,0.09483005724659373,0.09492007000331638
formal,q2,terminal_15,reference,0.0,0.0,0.0,0.0
formal,q3,horizon_12,horizon_24,8602.85335122794,8602.85335122794,0.05500162884926858,0.05503189728916428
formal,q3,horizon_18,horizon_24,-3203.556665604934,-3203.556665604934,-0.020497145563151197,-0.020492945094365028
formal,q3,horizon_24,horizon_24,0.0,0.0,0.0,0.0
formal,q4_2,count10_span10,reference,-156910.89305281825,-156910.89305281825,-1.0145391251886577,-1.004349605487311
formal,q4_2,count10_span20,reference,114998.64100150391,114998.64100150391,0.7307006335706201,0.7360791687200388
formal,q4_2,count40_span40,reference,158783.0734109059,158783.0734109059,1.0061075869212686,1.0163329902445024
formal,q4_2,raw_history,reference,1942773.6175839081,1942773.6175839081,11.05990972871239,12.435235555728733
formal,q4_2,reference,reference,0.0,0.0,0.0,0.0
formal,q4_2,shuffle_20260913,reference,38923.32421788387,38923.32421788387,0.2485198549829139,0.24913901490145285
formal,q4_2,shuffle_20260914,reference,27889.95002920367,27889.95002920367,0.1781988746239621,0.17851698989096038
formal,q4_2,shuffle_20260915,reference,37103.80203161016,37103.80203161016,0.23692999128570563,0.237492682678079
