mode,date,plan_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,final_relative_cost_yuan,emergency_kwh,unused_surplus_kwh,mean_price,load_kwh,pv_kwh,forecast_pv_error_kwh
q2,2025-06-01,38314.44041837869,0.0,46969.67491057915,85284.11532895785,11882.341537499995,444.07167500000014,0.7661972222222223,128248.56003333331,57023.73373333333,12594.996017916666
q2,2025-06-02,39062.622932467966,0.0,40233.08173864584,79295.70467111381,9728.696095833333,2031.9883458333352,0.7661972222222223,128080.53698333334,59439.72953333333,9079.132627291667
q2,2025-12-02,55862.52311840875,0.0,21904.334702229153,77766.8578206379,5810.5513958333295,581.8949125000008,0.7661972222222223,125400.62359999999,36762.81365,2324.8493058333343
q3,2025-12-01,59078.77914797403,-1893.7034713744918,21155.45111032044,78340.52678691997,5524.490883833331,1922.7026416666665,0.7661972222222223,125291.39163333335,38992.4639,1031.443945
q3,2025-12-04,60441.8840019507,-1711.1158712304848,16973.727139164188,75704.4952698844,4320.460196954559,2526.9041179444484,0.7661972222222223,125336.25095,38565.0422,299.9282000000018
q3,2025-12-02,61245.78328230923,-1461.0272927312378,15064.35893999472,74849.11492957271,4033.852350833332,2064.930466666667,0.7661972222222223,125400.62359999999,36762.81365,-375.03616583333314
q4_2,2025-06-01,42234.23795761277,0.0,53795.534742168726,96029.77269978149,12197.384874999994,411.3268333333332,0.8191805555555556,128248.56003333331,57023.73373333333,12594.996017916666
q4_2,2025-12-02,66290.74292585334,0.0,28071.508038260396,94362.25096411373,5818.815920833328,580.640600000001,0.9153138888888888,125400.62359999999,36762.81365,2324.8493058333343
q4_2,2025-12-01,64810.07923197583,0.0,23148.833373506244,87958.91260548208,4943.522224999999,1508.093433333334,0.9076055555555556,125291.39163333335,38992.4639,270.84232500000087
q4_3,2025-12-01,69811.03767898487,-2517.8095531486574,26623.408395892347,93916.63652172855,5549.08103472222,1973.0625987777762,0.9076055555555556,125291.39163333335,38992.4639,1031.443945
q4_3,2025-12-04,71199.64470512763,-2092.212280341198,20592.995513775684,89700.42793856212,4231.172369176781,2596.5098457222243,0.9050854166666666,125336.25095,38565.0422,299.9282000000018
q4_3,2025-12-02,73762.65231659028,-1865.3462482155564,17746.802169013477,89644.10823738821,3941.0159522222216,2135.131778499999,0.9153138888888888,125400.62359999999,36762.81365,-375.03616583333314
