phase,mode,variant,date,variant_minus_reference_yuan,emergency_cost_difference,plan_cost_difference,adjustment_difference
formal,q2,count10_span10,2025-06-03,-12353.308927167789,-16435.28301181045,4081.974084642672,0.0
formal,q2,count10_span10,2025-06-05,-7222.458607380897,-11129.606826477084,3907.1482190961906,0.0
formal,q2,count10_span10,2025-10-15,6714.47861337482,8274.867913727103,-1560.3893003522826,0.0
formal,q2,count10_span10,2025-06-04,-6518.078362404784,-10747.197112364585,4229.1187499597945,0.0
formal,q2,count10_span10,2025-07-04,-5543.309069024806,-5961.740757924992,418.43168890018933,0.0
formal,q2,count10_span20,2025-06-06,3644.616521472497,2899.2994534520767,745.3170680204239,0.0
formal,q2,count10_span20,2025-11-06,3292.2830648956005,3995.7553632416666,-703.4722983460597,0.0
formal,q2,count10_span20,2025-06-02,-3249.6322131956404,-4816.421612554179,1566.7893993585458,0.0
formal,q2,count10_span20,2025-07-04,-3187.2933029972046,-4578.985082991662,1391.6917799944604,0.0
formal,q2,count10_span20,2025-07-28,3162.566477884684,3337.202512679166,-174.6360347944792,0.0
formal,q2,count40_span40,2025-06-11,9332.968056111771,13029.90822441153,-3696.940168299763,0.0
formal,q2,count40_span40,2025-06-05,6928.151190648547,8886.382780966669,-1958.231590318108,0.0
formal,q2,count40_span40,2025-07-14,5648.02904987432,895.4365550729216,4752.592494801393,0.0
formal,q2,count40_span40,2025-07-09,5536.33029485913,372.639605445833,5163.690689413292,0.0
formal,q2,count40_span40,2025-07-10,5387.619676822353,55.826546237505454,5331.793130584847,0.0
formal,q2,raw_history,2025-02-08,35841.051850953605,-375.2900849145825,36216.341935868186,0.0
formal,q2,raw_history,2025-02-01,35349.287209302056,-53.77448783125107,35403.06169713331,0.0
formal,q2,raw_history,2025-02-15,35146.04276776205,-1007.8319942131908,36153.87476197524,0.0
formal,q2,raw_history,2025-02-07,35083.915333053796,-222.8856207062528,35306.800953760045,0.0
formal,q2,raw_history,2025-02-14,34649.64513767919,-794.5583765069459,35444.203514186134,0.0
formal,q2,reference,2025-02-01,0.0,0.0,0.0,0.0
formal,q2,reference,2025-09-15,0.0,0.0,0.0,0.0
formal,q2,reference,2025-09-14,0.0,0.0,0.0,0.0
formal,q2,reference,2025-09-13,0.0,0.0,0.0,0.0
formal,q2,reference,2025-09-12,0.0,0.0,0.0,0.0
formal,q2,shuffle_20260913,2025-06-06,4145.428124482918,4621.388262306245,-475.960137823331,0.0
formal,q2,shuffle_20260913,2025-06-11,3331.1240067329054,4723.235924114575,-1392.1119173816696,0.0
formal,q2,shuffle_20260913,2025-06-10,1848.407712981425,3221.3798337625067,-1372.9721207810799,0.0
formal,q2,shuffle_20260913,2025-07-14,1846.0114999171274,24.30662380625165,1821.7048761108745,0.0
formal,q2,shuffle_20260913,2025-06-04,1717.2542861430484,1928.0863551916736,-210.8320690486289,0.0
formal,q2,shuffle_20260914,2025-06-06,5031.507554991251,5531.26144756666,-499.75389257541246,0.0
formal,q2,shuffle_20260914,2025-06-11,2858.1747903904034,3907.9719513187374,-1049.797160928334,0.0
formal,q2,shuffle_20260914,2025-06-05,2535.959156226425,3211.4473712687504,-675.4882150423218,0.0
formal,q2,shuffle_20260914,2025-07-14,2212.0301976022893,5.001518977083492,2207.0286786252036,0.0
formal,q2,shuffle_20260914,2025-07-09,1943.8548773745279,88.57029179791766,1855.2845855766063,0.0
formal,q2,shuffle_20260915,2025-06-06,4121.142692625006,4585.628450593751,-464.48575796874866,0.0
formal,q2,shuffle_20260915,2025-06-05,2970.399143350216,3790.108224047901,-819.7090806976776,0.0
