phase,mode,variant,month,total_cost_yuan,emergency_cost_yuan,emergency_share
formal,q2,count10_span10,2025-02,1260830.453017445,37389.559531799285,0.02965470848385509
formal,q2,count10_span10,2025-03,1213896.1744595636,89460.83438161454,0.07369727021459906
formal,q2,count10_span10,2025-04,1032784.5256582473,92283.71371587292,0.08935427615654457
formal,q2,count10_span10,2025-05,1083328.5712439183,105760.52161594997,0.09762552601609296
formal,q2,count10_span10,2025-06,1507160.490698668,173612.04535961247,0.11519147856585059
formal,q2,count10_span10,2025-07,1612684.8113437956,118886.68065792914,0.07371972490946008
formal,q2,count10_span10,2025-08,1399568.030330284,107428.66266898486,0.07675844284870724
formal,q2,count10_span10,2025-09,1236077.3596908902,105596.05852608538,0.08542835745530694
formal,q2,count10_span10,2025-10,1227220.353001151,103265.29016206245,0.08414567922502961
formal,q2,count10_span10,2025-11,1321489.566306345,45515.81191254371,0.03444280838309118
formal,q2,count10_span10,2025-12,1761324.2286171778,73932.6216242895,0.041975588834279695
formal,q2,count10_span20,2025-02,1279368.641292128,27283.65417443332,0.021325873789494763
formal,q2,count10_span20,2025-03,1224010.7979051196,107090.3624655708,0.08749135436456502
formal,q2,count10_span20,2025-04,1032149.1359839559,95828.10006033331,0.09284326917444892
formal,q2,count10_span20,2025-05,1107178.2894460987,137777.67637000748,0.12444037033903109
formal,q2,count10_span20,2025-06,1574464.414064137,229388.11053259877,0.14569278827997345
formal,q2,count10_span20,2025-07,1650484.0631413616,114051.90424526154,0.0691020936174245
formal,q2,count10_span20,2025-08,1415268.3893992428,98924.24312396042,0.06989786804038778
formal,q2,count10_span20,2025-09,1264885.3875971632,113050.9657467625,0.08937645011578442
formal,q2,count10_span20,2025-10,1229390.1838956664,113072.5859990062,0.09197453134098087
formal,q2,count10_span20,2025-11,1337260.4683305381,62996.640082452046,0.04710872831012366
formal,q2,count10_span20,2025-12,1803609.4761855183,94378.29443970825,0.052327455408645536
formal,q2,count40_span40,2025-02,1318687.9391266792,10713.449364402779,0.008124324979796146
formal,q2,count40_span40,2025-03,1208621.54011389,107047.30431113174,0.08856974723538728
formal,q2,count40_span40,2025-04,1024487.2986231494,96151.36121969583,0.09385315108241712
formal,q2,count40_span40,2025-05,1109806.8930102964,187822.01318560622,0.16923846334757237
formal,q2,count40_span40,2025-06,1575519.695471569,310968.220507081,0.19737501308354327
formal,q2,count40_span40,2025-07,1684665.2455166946,84041.96750122287,0.04988644938505086
formal,q2,count40_span40,2025-08,1431533.9607873193,55169.30741987915,0.038538594913624664
formal,q2,count40_span40,2025-09,1244819.7340697146,83124.18080224589,0.06677607891906269
formal,q2,count40_span40,2025-10,1215511.4761681051,124771.17720758326,0.10264911492314649
formal,q2,count40_span40,2025-11,1330093.5551945444,85134.74756214579,0.0640065860252166
formal,q2,count40_span40,2025-12,1796919.4899631047,116830.88310238533,0.06501731644347859
formal,q2,raw_history,2025-02,1576796.0900835558,9554.588947949995,0.006059495586042256
formal,q2,raw_history,2025-03,1467935.5269257363,42530.17809062497,0.028972783416241002
formal,q2,raw_history,2025-04,1199726.154726996,41254.30517273332,0.03438643477946095
formal,q2,raw_history,2025-05,1258428.7634861462,108938.21154555399,0.08656684804610576
formal,q2,raw_history,2025-06,1729923.0978913156,331516.3398176207,0.19163646073153282
formal,q2,raw_history,2025-07,1805733.3598062783,190350.74254534996,0.10541464580671593
formal,q2,raw_history,2025-08,1615433.8964731896,76351.37693612494,0.04726369621363959
formal,q2,raw_history,2025-09,1422755.7682282631,92929.93440799165,0.06531685654222716
formal,q2,raw_history,2025-10,1452102.5012504293,141997.94413201662,0.09778782421333196
formal,q2,raw_history,2025-11,1625269.5098871884,177617.38593034973,0.10928488158414928
formal,q2,raw_history,2025-12,2040943.832626487,210271.61334404987,0.10302665364065983
formal,q2,reference,2025-02,1271253.2714433179,26645.529121390955,0.020960047631687857
formal,q2,reference,2025-03,1219470.4696263112,108911.87713769372,0.08931079501340296
formal,q2,reference,2025-04,1020555.8414724634,87560.82114581873,0.08579718775553281
formal,q2,reference,2025-05,1093972.7112923851,131325.96474051249,0.12004500970172108
formal,q2,reference,2025-06,1557658.8215877379,227316.7001133989,0.14593484591297895
formal,q2,reference,2025-07,1636764.0188680924,118145.11883465241,0.07218213344911865
formal,q2,reference,2025-08,1401723.3774763711,91698.5576686961,0.06541844071530573
formal,q2,reference,2025-09,1255893.8016562944,112261.21122097917,0.08938750320522894
formal,q2,reference,2025-10,1219917.7923151446,111746.95371937912,0.09160203615631113
formal,q2,reference,2025-11,1322561.8308879454,53218.854665554114,0.04023921863057539
formal,q2,reference,2025-12,1795177.786676919,97487.84270140894,0.054305397172872874
formal,q2,shuffle_20260913,2025-02,1271749.9187269302,26982.145495214565,0.021216549808963002
formal,q2,shuffle_20260913,2025-03,1219668.1730915515,107649.63608833123,0.08826141278694395
formal,q2,shuffle_20260913,2025-04,1019715.2424012531,86612.10002407915,0.08493753591455849
formal,q2,shuffle_20260913,2025-05,1094255.816249459,130416.27696454983,0.11918262167575142
formal,q2,shuffle_20260913,2025-06,1565825.9130844825,246546.34034574984,0.15745450262736052
formal,q2,shuffle_20260913,2025-07,1643278.2979959308,106836.35757849163,0.06501415962760812
formal,q2,shuffle_20260913,2025-08,1404492.1240439625,96023.32287370978,0.06836871580114616
formal,q2,shuffle_20260913,2025-09,1254182.0212930944,112590.31486683122,0.089771909463945
formal,q2,shuffle_20260913,2025-10,1219592.8318199946,112337.44130343375,0.09211061132246319
formal,q2,shuffle_20260913,2025-11,1323470.843245216,56743.42447429994,0.04287470688448433
formal,q2,shuffle_20260913,2025-12,1794743.2437048666,101658.04094011452,0.056642108165992064
formal,q2,shuffle_20260914,2025-02,1272044.3737860827,26600.358284207614,0.02091150185668047
formal,q2,shuffle_20260914,2025-03,1221642.3597089495,109620.60878313541,0.0897321608995713
formal,q2,shuffle_20260914,2025-04,1019345.9641759498,86057.78719655625,0.08442451358124156
formal,q2,shuffle_20260914,2025-05,1093997.5259256617,130547.4821385876,0.11933069229578719
formal,q2,shuffle_20260914,2025-06,1565301.310202904,246336.66804921813,0.1573733225951791
formal,q2,shuffle_20260914,2025-07,1648465.89252969,109575.8776086687,0.0664714254054214
formal,q2,shuffle_20260914,2025-08,1401251.4779636948,95120.26757688748,0.06788236735001821
formal,q2,shuffle_20260914,2025-09,1254429.7853380523,113060.78887308956,0.09012922859020059
formal,q2,shuffle_20260914,2025-10,1221425.1507517702,113966.8256189307,0.09330643433106457
formal,q2,shuffle_20260914,2025-11,1321925.4135974767,55162.19673456871,0.04172867558726386
formal,q2,shuffle_20260914,2025-12,1791067.3331908728,100319.74149061868,0.056011150240730605
formal,q2,shuffle_20260915,2025-02,1272143.5984044955,26482.46611937566,0.020817198744378852
formal,q2,shuffle_20260915,2025-03,1220175.1334373702,108127.90754262291,0.08861671130603561
formal,q2,shuffle_20260915,2025-04,1020043.1358190926,86839.91759854375,0.08513357381578913
formal,q2,shuffle_20260915,2025-05,1094739.6463800564,131720.77299358122,0.12032155173071374
formal,q2,shuffle_20260915,2025-06,1566406.6315724766,249103.73261807862,0.15902877809449106
formal,q2,shuffle_20260915,2025-07,1648372.2069423532,111719.03148915067,0.06777536712802493
formal,q2,shuffle_20260915,2025-08,1403494.069655638,94722.93439016874,0.06749079774409734
formal,q2,shuffle_20260915,2025-09,1257117.4283275441,115530.33008045617,0.09190098512448158
formal,q2,shuffle_20260915,2025-10,1220414.7414449854,113481.96782600827,0.09298639550325678
formal,q2,shuffle_20260915,2025-11,1322825.1435784192,56128.386268937466,0.04243069202411943
formal,q2,shuffle_20260915,2025-12,1793272.6670937878,99057.54991248953,0.055238420642982365
formal,q2,shuffle_20260916,2025-02,1272763.860315652,26944.564427981924,0.021170120607682506
formal,q2,shuffle_20260916,2025-03,1221698.0442047974,110430.5045720643,0.09039099726474839
formal,q2,shuffle_20260916,2025-04,1020002.9554705574,86184.26841455832,0.08449413597512467
formal,q2,shuffle_20260916,2025-05,1095227.7238786886,131547.5808812,0.12010979818455608
formal,q2,shuffle_20260916,2025-06,1565165.5612237349,245255.633574278,0.15669628801602514
formal,q2,shuffle_20260916,2025-07,1645644.926584025,107955.44055282552,0.0656006887080531
formal,q2,shuffle_20260916,2025-08,1402763.5883196855,95172.7277635596,0.06784659122608337
formal,q2,shuffle_20260916,2025-09,1254444.043350419,114516.25564857082,0.09128845264609511
formal,q2,shuffle_20260916,2025-10,1219676.2279124283,112118.53352102288,0.09192483296400927
formal,q2,shuffle_20260916,2025-11,1322058.1623368745,54766.92086842956,0.041425500351378916
formal,q2,shuffle_20260916,2025-12,1794795.612174385,102465.14631592493,0.0570901475471009
formal,q2,shuffle_20260917,2025-02,1272511.2917753484,26633.826004336082,0.020930129403549585
