date,final_relative_cost_yuan,plan_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,emergency_kwh,unused_surplus_kwh,charge_kwh,discharge_kwh
2025-02-01,25769.179071657327,25715.404583826075,0.0,53.77448783125107,11.476787500000228,10733.474456944448,21150.75098079561,17132.108294444446
2025-02-02,60980.20257268049,60882.93111107771,0.0,97.27146160277775,15.511963888888886,12590.532951388894,25096.635054869683,20328.274394444445
2025-02-03,59494.16985613486,59381.10180031125,0.0,113.06805582361068,27.864758333333157,8761.364545833334,24833.333333333332,20115.0
2025-02-04,59819.41572944465,59459.47742022729,0.0,359.93830921736173,112.61624305555517,7955.982381944446,24928.015390946497,20191.692466666667
2025-02-05,59335.11081407694,58768.529829423474,0.0,566.5809846534695,130.14560416666598,7501.626602777781,24833.333333333332,20115.0
2025-02-06,59427.665440439865,59307.305669947506,0.0,120.35977049236003,33.86690277777757,8527.486754166672,24833.333333333332,20115.0
2025-02-07,24219.877802093957,23996.992181387704,0.0,222.88562070625278,44.01780416666713,10660.782800000004,20757.17737482853,16813.31367361111
2025-02-08,23459.328323527487,23084.038238612902,0.0,375.2900849145825,55.577913888888645,9052.314287500001,20895.678647119345,16925.49970416667
2025-02-09,58054.195020053165,57023.65200707677,0.0,1030.5430129763918,368.10392500000034,6656.445051388891,24831.41350137174,20113.44493611111
2025-02-10,55959.22863520347,55803.87632719097,0.0,155.3523080125001,23.518212500000004,9995.072951388893,24563.016790123453,19896.0436
2025-02-11,56016.09855975319,55854.62109565597,0.0,161.4774640972227,30.773688888888955,9015.26234861111,24734.5137654321,20034.95615
2025-02-12,55841.94792852026,55471.17400084943,0.0,370.77392767083285,78.68638750000002,8644.774794444445,24559.520392661176,19893.211518055556
2025-02-13,55676.272286047366,55449.52899978487,0.0,226.7432862624999,59.754102777777234,12317.828019444452,24343.5937654321,19718.31095
2025-02-14,21596.23355478284,20801.675178275895,0.0,794.5583765069459,250.40360416666695,6961.1169597222215,20368.833251028806,16498.754933333334
2025-02-15,21099.835924699983,20092.003930486793,0.0,1007.8319942131908,248.32974305555445,6026.926794444445,19575.931229423866,15856.504295833334
2025-02-16,54365.20296916387,53043.79392829789,0.0,1321.4090408659742,326.5058097222227,5437.217350000005,24003.27927297668,19442.656211111112
2025-02-17,52130.195820272165,51473.55603927425,0.0,656.6397809979164,163.61324999999988,7330.002800000001,23198.13565843621,18790.489883333335
2025-02-18,51944.294565106655,51204.04363009624,0.0,740.2509350104177,174.12841666666725,5913.726987500002,23182.077042181067,18777.48240416667
2025-02-19,52962.398498497496,50950.006164180835,0.0,2012.3923343166605,636.891095833332,5362.022037500002,23166.916666666664,18765.2025
2025-02-20,51874.3317995826,50681.90475512844,0.0,1192.4270444541628,308.74116666666555,6512.785500000005,23175.985937499998,18772.548609375
2025-02-21,20775.5542762946,18820.5083366696,0.0,1955.045939624998,569.6126208333321,7776.460237499999,18802.88093106996,15230.333554166666
2025-02-22,20636.4547829206,18492.130661751853,0.0,2144.324121168748,639.0718874999992,4967.434711265437,18271.136054526745,14799.620204166667
2025-02-23,51678.529834880836,49834.165252107916,0.0,1844.3645827729151,597.153345833332,5270.135379166672,23166.666666666664,18765.000000000004
2025-02-24,49162.445036113335,47752.968830757076,0.0,1409.4762053562556,330.64294166666764,5487.962854166674,23251.372942386828,18833.612083333333
2025-02-25,50041.19821628189,48688.18893616731,0.0,1353.009280114581,420.2034041666657,9118.461012500002,23242.281570833333,18826.248072374998
2025-02-26,49719.605923560994,47617.75273940058,0.0,2101.853184160413,577.6831416666655,4776.187179166669,23173.515036008226,18770.547179166668
2025-02-27,49534.86357235812,46900.9354936477,0.0,2633.9280787104117,583.332941666666,5628.201520833336,22856.14108024691,18513.474275
2025-02-28,19679.434629169165,18055.47518031292,0.0,1623.9594488562493,440.66419583333345,8662.794369341564,17959.32922325103,14547.056670833334
2025-03-01,19076.74466758633,17758.960099411328,0.0,1317.784568175002,297.33989166666703,7625.752674999996,17416.141286008235,14107.074441666668
2025-03-02,63460.08360124911,46522.55873948245,0.0,16937.524861766662,4225.2837458333315,3550.1826250000036,22750.719840534974,18428.083070833334
2025-03-03,65827.62477023616,44949.402696032,0.0,20878.222074204157,4938.239524999997,2325.4425291666694,22147.708137860078,17939.64359166667
2025-03-04,52199.10948406597,45555.2996622139,0.0,6643.809821852068,1855.9422249999961,2811.3097333333344,22810.27002057613,18476.31871666667
2025-03-05,48530.53705149944,46480.66303308902,0.0,2049.874018410424,500.7873000000018,5846.986758333335,23150.57863683127,18751.968695833333
2025-03-06,49851.622916215936,45252.135925159695,0.0,4599.486991056245,1090.067133333332,4821.357929166667,22796.958600823044,18465.53646666667
2025-03-07,18132.52248765659,17556.778397835755,0.0,575.7440898208359,200.88018333333406,9916.476488888886,17218.39371399177,13946.898908333333
2025-03-08,17895.148298892,17444.04661452741,0.0,451.10168436458554,151.15117916666696,11386.993166666669,16784.57866769547,13595.508720833332
2025-03-09,47944.51287870043,47078.07768550875,0.0,866.4351931916736,191.54946250000125,9342.718762500008,23166.666666666664,18764.999999999996
2025-03-10,52096.7074301411,44876.73816853485,0.0,7219.969261606243,2320.1315166666645,3517.63407916667,22415.16636831275,18156.28475833333
2025-03-11,46988.974079681844,44569.30690980476,0.0,2419.6671698770783,615.184358333332,5547.050254166669,22431.110144032915,18169.199216666664
2025-03-12,45981.27040866621,44910.7865188433,0.0,1070.4838898229148,371.8500374999985,7123.909745833337,22733.97483539094,18414.519616666665
2025-03-13,56668.74329455944,43561.78004599279,0.0,13106.963248566655,3763.756262499997,3482.8243958333355,22096.45689300411,17898.130083333333
2025-03-14,17653.15206762259,16835.545255041336,0.0,817.6068125812502,224.79947916666657,13529.65438333333,16285.23966563786,13191.044129166665
2025-03-15,18286.75201542417,16791.79316576375,0.0,1494.9588496604194,427.476358333334,8625.700241666664,16000.000000000002,12959.999999999998
2025-03-16,46777.63985930244,45207.38434225869,0.0,1570.2555170437547,423.1060041666675,7106.095675000003,22948.817968106996,18588.542554166666
2025-03-17,45396.05415385211,44695.87268355419,0.0,700.1814702979175,168.71237916666678,11710.8413625,22262.31945473251,18032.478758333335
2025-03-18,45713.312504219124,43184.99690873788,0.0,2528.3155954812482,549.075808333333,6638.602725000001,22175.781455761316,17962.38297916667
2025-03-19,44684.58761976316,43231.16744523399,0.0,1453.4201745291675,310.2527875000001,7993.939566666668,22327.819233539096,18085.533579166666
2025-03-20,45330.57123465844,43459.9594572626,0.0,1870.6117773958376,509.340058333334,5723.083375000002,22046.57865226337,17857.728708333332
2025-03-21,17250.96452137167,16085.741679340419,0.0,1165.222842031248,349.39747499999885,16310.920875000002,15999.999999999998,12959.999999999996
2025-03-22,16720.429928454585,16194.771979373334,0.0,525.6579490812495,238.88014999999984,12431.786675,16000.000000000002,12960.0
2025-03-23,44871.7481503416,43023.62426715618,0.0,1848.123883185418,490.30321250000054,8719.366791666669,22501.666193415636,18226.349616666663
2025-03-24,43108.16156611668,41801.85985112293,0.0,1306.3017149937477,438.28766666666564,7662.489750000001,21792.90753600823,17652.255104166667
2025-03-25,47088.95871340378,40758.741276757944,0.0,6330.217436645834,1543.5974083333326,4165.174383333332,21797.975627572014,17656.360258333334
2025-03-26,41407.10049526252,40456.11671885419,0.0,950.9837764083361,304.49378750000005,7861.424166666673,21796.867952674893,17655.463041666666
2025-03-27,42688.62932025035,41262.497196404525,0.0,1426.132123845832,470.31496666666635,6012.18156666667,21703.238328189298,17579.623045833334
2025-03-28,16978.037748736664,15452.378937524167,0.0,1525.6588112124987,431.204041666666,16679.925520833334,16000.0,12960.000000000002
2025-03-29,16461.052211281247,15527.573293445834,0.0,933.4789178354134,273.4225041666661,19728.8637625,16000.0,12960.0
2025-03-30,41542.28807171755,40267.6917374238,0.0,1274.5963342937546,450.81279166666775,8219.857494084366,21609.236162551435,17503.481291666667
2025-03-31,42857.428075382326,39804.341796926084,0.0,3053.0862784562423,795.7700291666646,6140.289329166666,21658.747242798356,17543.585266666665
2025-04-01,45021.04208872297,39717.47517667088,0.0,5303.566912052092,1956.1536208333346,3997.5775000000003,21617.31385802469,17510.024225
2025-04-02,52481.3610880726,38164.21379740593,0.0,14317.147290666673,3755.851491666667,3146.140178125004,21436.553722993824,17363.608515625
2025-04-03,42763.288587513234,39869.90998667366,0.0,2893.37860083958,704.339133333332,7426.125539609055,21545.738091563784,17452.047854166667
2025-04-04,15801.662231280836,14991.886875495418,0.0,809.775355785419,224.11413750000065,20297.481795833333,16000.0,12959.999999999998
2025-04-05,18252.769959571673,15167.40193589667,0.0,3085.3680236750038,798.0759041666673,15580.31837916667,15999.999999999998,12959.999999999998
2025-04-06,39337.059065734305,37677.701232119725,0.0,1659.3578336145847,493.4110708333336,5285.587774999999,21416.268657407407,17347.1776125
2025-04-07,38682.72399392711,37839.238446531286,0.0,843.4855473958287,291.1701749999985,6564.8535875,21295.630859053497,17249.46099583333
2025-04-08,41260.35665252002,38563.87553137836,0.0,2696.4811211416554,620.0641166666642,7122.253479166668,21523.471460905348,17434.011883333333
2025-04-09,48320.86100350456,37416.25077397747,0.0,10904.61022952709,3050.554887500002,2763.4005583333333,21369.852566872425,17309.580579166664
2025-04-10,41010.09222881626,38795.6360339496,0.0,2214.4561948666583,523.3664583333314,7162.192520833335,21456.00901748971,17379.367304166666
2025-04-11,15947.12355715375,14562.794583120418,0.0,1384.328974033334,360.91765833333324,21043.06705,15999.999999999998,12960.0
2025-04-12,15120.1826309375,14812.030917847916,0.0,308.15171308958196,93.75996666666617,17440.181729166663,16000.000000000002,12960.0
2025-04-13,39721.16099332725,37016.47348298976,0.0,2704.6875103374923,621.3670374999981,4841.193929166669,21266.46118312757,17225.833558333332
2025-04-14,39224.17112765209,36475.5583858875,0.0,2748.6127417645844,682.5949749999995,5648.379195833334,20313.637649176955,16454.046495833332
2025-04-15,39724.44696337933,37847.16020744182,0.0,1877.286755937504,411.94683750000047,10077.326216666668,21483.109804526746,17401.31894166667
2025-04-16,40499.01803653187,37459.53696423187,0.0,3039.4810722999955,837.8771416666652,4480.653262500003,21419.67838477366,17349.939491666664
2025-04-17,37895.63153462148,37503.81567111315,0.0,391.8158635083322,117.37473333333332,6191.9141333333355,21290.231188271602,17245.087262499997
2025-04-18,14970.069952716667,14181.17189613125,0.0,788.8980565854166,219.25648333333334,19390.945170833336,16000.0,12960.0
2025-04-19,14927.208440274166,14216.959084803333,0.0,710.249355470832,222.1071166666662,18916.863295833333,16000.0,12960.000000000002
2025-04-20,39337.11407893123,36308.57868315205,0.0,3028.5353957791704,647.9123666666676,6138.170333333337,20788.3491872428,16838.562841666666
2025-04-21,37138.11806775609,36024.0047758686,0.0,1114.1132918874964,322.46486666666556,8916.164395500002,20269.37810658436,16418.196266333332
2025-04-22,37915.69137720732,36820.39920872398,0.0,1095.2921684833323,320.9408416666662,6377.503887500002,20365.35966049383,16495.941325
2025-04-23,37315.241003575604,36884.505877961026,0.0,430.73512561458153,152.9881999999991,7584.78846666667,20971.69450617284,16987.07255
2025-04-24,36757.000141574325,36087.44685532016,0.0,669.5532862541705,214.5013291666678,9848.480041666673,20485.466224279837,16593.22764166667
2025-04-25,14091.047323236251,13641.42172602375,0.0,449.6255972125015,130.89857916666676,22876.97355833333,16000.000000000002,12960.0
2025-04-26,14425.792444408751,13684.647159167083,0.0,741.1452852416679,199.42220833333346,24850.82566666667,15999.999999999996,12960.0
2025-04-27,37415.585051344206,35016.60266282754,0.0,2398.9823885166606,601.5069791666649,7463.837408333333,20047.813724279837,16238.72911666667
2025-04-28,51221.490085899284,34356.48549362637,0.0,16865.004592272915,4448.213437499998,2226.071033333336,19696.918649331274,15954.50410595834
2025-04-29,37011.10704292139,35537.63538169847,0.0,1473.471661222913,346.8607041666655,9190.832645833336,19388.498765432094,15704.684
2025-04-30,36967.42471935151,36354.20151860985,0.0,613.2232007416633,177.66905416666606,10241.49291666667,20159.561507201648,16329.244820833334
2025-05-01,46409.17527553671,34533.25202049297,0.0,11875.923255043746,2535.0108333333324,5823.160004166672,19607.4465595679,15882.03171325
2025-05-02,36913.103233326256,13316.572394030418,0.0,23596.53083929584,5303.244762500001,15172.792287499997,16000.000000000002,12960.0
2025-05-03,22582.391030413328,13575.566001825831,0.0,9006.825028587498,1805.9331749999994,17390.196575,15999.999999999996,12960.000000000002
2025-05-04,45111.4382592756,35489.91547859852,0.0,9621.522780677084,2336.4636749999986,6600.806079166667,19897.365643004116,16116.866170833333
2025-05-05,48427.83711480671,35773.330449567125,0.0,12654.506665239576,2830.1123291666654,4491.771241666668,19184.637098765434,15539.556050000001
2025-05-06,47133.68838778556,35846.492555860576,0.0,11287.195831924984,2508.8576416666633,5520.450062500001,19750.14389495885,15997.616554916665
2025-05-07,46204.30616823164,37265.895537319135,0.0,8938.410630912505,1898.5961833333345,5871.782891666667,19442.836491769547,15748.697558333331
2025-05-08,46190.18620029509,37535.86327933676,0.0,8654.322920958324,2553.1511458333307,4492.840833333334,19885.36173353909,16107.143004166664
2025-05-09,17311.40167548208,15698.620589232081,0.0,1612.781086249998,401.6915958333327,18723.169654166668,15999.999999999998,12960.000000000002
2025-05-10,16965.255033245416,15695.157887749587,0.0,1270.0971454958305,359.8298958333324,14958.075475,16000.0,12959.999999999996
2025-05-11,44222.97118942887,38390.573057320544,0.0,5832.3981321083265,1380.0070208333318,5615.693150000003,20088.585025720164,16271.753870833332
2025-05-12,42048.33362598884,39304.46818718051,0.0,2743.8654388083287,883.6256083333325,10474.743554166664,20983.645848765427,16996.753137499996
2025-05-13,39663.92892908284,38423.050615903674,0.0,1240.8783131791633,357.5119333333323,6773.7597749999995,19699.28237139918,15956.418720833331
2025-05-14,40241.51797934273,39295.34499472815,0.0,946.1729846145857,272.92780000000033,8792.458725000002,19987.843256172833,16190.153037499998
2025-05-15,41158.28638056318,39367.915834952764,0.0,1790.3705456104167,490.40632500000004,8440.294108333337,20095.70687757201,16277.522570833331
2025-05-16,17058.901837729583,16503.36043956917,0.0,555.5413981604156,170.92417916666625,25045.157904166666,16000.0,12960.0
2025-05-17,17538.200003723334,16512.827755879585,0.0,1025.3722478437494,340.0461041666668,17511.2830875,15999.999999999998,12959.999999999998
2025-05-18,41232.29896698163,39697.472940910804,0.0,1534.8260260708323,648.4518208333329,8496.967295833332,20010.35528292181,16208.387779166665
2025-05-19,40656.3385712198,40022.188527030215,0.0,634.1500441895862,100.66620833333377,14967.668389557615,20004.3966409465,16203.561279166668
2025-05-20,41785.93124850799,39322.396542543414,0.0,2463.534705964586,561.7450458333335,6993.278295833333,19832.44859053498,16064.283358333334
2025-05-21,41866.27688069259,39577.797650161345,0.0,2288.4792305312467,638.328762499999,10997.528054166665,19515.92537037037,15807.899549999998
2025-05-22,40220.22698072643,40004.389228959764,0.0,215.8377517666685,74.42517916666702,10908.435204166668,19791.118703703698,16030.80615
2025-05-23,16932.62413961125,16658.614913598747,0.0,274.00922601250056,118.77231250000034,21349.913895833335,15999.999999999998,12960.000000000002
2025-05-24,17029.51027823375,16767.93827514,0.0,261.57200309375037,102.91860833333354,24087.544012500002,16000.0,12960.0
2025-05-25,40052.86159936688,39412.710346606465,0.0,640.1512527604162,157.73915833333314,12935.206987499998,19194.017633744854,15547.154283333331
2025-05-26,42666.00416576682,39377.781592014726,0.0,3288.2225737520907,913.361454166669,7716.0992583333355,19369.029305555552,15688.9137375
2025-05-27,39248.745058761175,38970.86564067785,0.0,277.8794180833323,104.6858416666663,11240.058415792178,18979.708055555562,15373.563525000001
2025-05-28,39888.58064805093,38707.46950677801,0.0,1181.1111412729206,305.1826708333346,8305.574183333336,18547.150288065837,15023.191733333333
2025-05-29,42512.0091482659,39232.71280867215,0.0,3279.296339593745,888.912179166665,7379.307954166669,19155.391995884776,15515.867516666665
2025-05-30,17151.91334384084,16237.078758905422,0.0,914.834584935417,268.6237416666666,20808.3805298354,16007.520720164606,12966.09178333333
2025-05-31,17548.46793810167,16129.12274032667,0.0,1419.3451977749976,443.0507874999992,19064.84080416667,16000.0,12959.999999999998
