date,final_relative_cost_yuan,plan_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,emergency_kwh,unused_surplus_kwh,charge_kwh,discharge_kwh
2025-02-01,51867.92823137395,51867.92823137395,0.0,0.0,0.0,56725.42310000001,24764.99975308642,20059.649800000003
2025-02-02,67694.86404872354,67609.8706880152,0.0,84.99336070833212,13.376516666666475,12277.318816666668,24744.532818930038,20043.071583333334
2025-02-03,68624.88524573312,68604.6987890998,0.0,20.186456633333222,8.294466666666608,10121.614716666669,24732.620843621396,20033.422883333333
2025-02-04,68370.38764459649,68164.69524676315,0.0,205.692397833334,56.56933333333336,8760.33281666667,24238.63469135802,19633.2941
2025-02-05,67510.03519702093,67440.25429777926,0.0,69.78089924166713,25.03514999999993,8617.712200000004,24445.545308641973,19800.8917
2025-02-06,66968.69278790602,66860.94171084769,0.0,107.75107705833186,23.113149999999564,8481.219183333335,24117.521275720163,19535.192233333335
2025-02-07,49037.79094334881,49037.79094334881,0.0,0.0,0.0,56937.93248333334,24950.854609053495,20210.19223333333
2025-02-08,49384.41583011624,49384.41583011624,0.0,0.0,0.0,57158.46776666667,24950.854609053495,20210.19223333333
2025-02-09,66376.24995197031,65678.73555680364,0.0,697.5143951666664,173.30726666666658,8812.43815,24919.416913580244,20184.7277
2025-02-10,63663.85525160148,63511.82025185148,0.0,152.03499975000005,23.88216666666665,13375.883583333336,24911.604012345677,20178.39925
2025-02-11,63990.46503720121,63951.83075386788,0.0,38.63428333333385,7.790000000000077,12021.9904,24912.56903292181,20179.180916666668
2025-02-12,62842.763008840004,62662.779097315004,0.0,179.9839115249999,32.65341666666666,10754.09186666667,24833.333333333332,20115.0
2025-02-13,61312.68713066501,61024.079664790006,0.0,288.60746587500023,77.0723999999999,13626.480033333339,24833.333333333332,20115.0
2025-02-14,46471.557973485,46471.557973485,0.0,0.0,0.0,55068.43941666667,24833.333333333332,20115.0
2025-02-15,47067.491709475005,47067.491709475005,0.0,0.0,0.0,55630.995350000005,24833.333333333332,20115.0
2025-02-16,61710.617370836684,61036.39496492002,0.0,674.2224059166615,133.0684166666657,8513.239700000006,24546.30335390946,19882.505716666667
2025-02-17,60770.075756455306,60053.55154615531,0.0,716.5242102999956,162.32096666666587,11965.446683333337,24346.29635802469,19720.500050000002
2025-02-18,58919.71289190358,58552.30700680358,0.0,367.4058850999994,63.96556666666652,10067.726533333336,23850.057160493823,19318.546299999998
2025-02-19,59681.61954314772,58170.065235814385,0.0,1511.5543073333326,423.8152499999992,9164.939800000004,23507.869362139914,19041.374183333333
2025-02-20,59139.27763029662,58106.483381521626,0.0,1032.7942487749983,261.4734333333324,10016.853600000002,22780.452325102877,18452.16638333333
2025-02-21,43345.36551893585,43345.36551893585,0.0,0.0,0.0,55250.388483333336,22780.452325102877,18452.166383333333
2025-02-22,43909.49166072593,43894.1395523926,0.0,15.352108333333302,7.6416666666666515,52968.69263333334,23776.211851851847,19258.7316
2025-02-23,58394.95789597167,57488.51402751333,0.0,906.4438684583354,270.1797333333334,9203.492716666668,23999.999999999996,19440.0
2025-02-24,57556.77664709574,56578.43081192074,0.0,978.3458351749988,200.1798999999994,11723.046366666671,23725.818518518518,19217.913
2025-02-25,55476.55814599833,54732.640814365,0.0,743.917331633334,195.85488333333308,13043.415200000003,23999.999999999996,19440.0
2025-02-26,54838.23808407811,54377.98885091978,0.0,460.24923315833587,135.04298333333372,8532.571216666669,23074.12965020576,18690.045016666667
2025-02-27,52935.95096956757,52200.034725767575,0.0,735.9162437999996,136.8369833333329,9208.551833333337,22866.861069958846,18522.157466666667
2025-02-28,40104.26784174537,40104.26784174537,0.0,0.0,0.0,52795.830050000004,23246.05962962963,18829.3083
2025-03-01,39794.73812645223,39794.73812645223,0.0,0.0,0.0,52429.65766666667,23683.43586419753,19183.58305
2025-03-02,64946.88518725525,52720.89997164692,0.0,12225.985215608329,2749.0191166666655,5804.126100000002,23537.501419753087,19065.376149999996
2025-03-03,58549.63686187412,52366.02207790745,0.0,6183.6147839666655,1354.3991333333324,4616.702950000003,23544.177263374484,19070.783583333334
