date,final_relative_cost_yuan,plan_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,emergency_kwh,unused_surplus_kwh,charge_kwh,discharge_kwh
2025-02-01,20871.146140409724,20824.498737615973,0.0,46.64740279375092,11.476787500000228,10787.880334722226,22117.29166323731,17915.00624722222
2025-02-02,67693.78667593257,67594.71275128673,0.0,99.0739246458333,15.511963888888886,12550.013868055561,25493.487827503428,20649.725140277777
2025-02-03,67227.72328265902,67090.67633029583,0.0,137.04695236319387,27.864758333333157,8743.997456944446,24833.333333333332,20115.0
2025-02-04,67511.99260225304,67094.69019269332,0.0,417.30240955972187,112.61624305555517,7951.412861111113,24094.682057613165,19516.692466666667
2025-02-05,66817.95857589625,66146.53230367055,0.0,671.4262722256912,131.14800416666594,7497.537790277781,24833.333333333332,20115.0
2025-02-06,66843.05706312082,66729.29439486527,0.0,113.76266825555467,33.879673611111,8512.713801388894,24942.292954389573,20203.257293055558
2025-02-07,19538.83477016514,19420.850347061667,0.0,117.98442310347252,32.392281944444505,10847.150500000003,22666.666666666664,18360.0
2025-02-08,18910.31779214048,18703.49527582242,0.0,206.8225163180554,36.649890277777615,9331.132065277778,21780.349518175586,17642.08310972222
2025-02-09,65081.25032224075,63593.8820224713,0.0,1487.3682997694473,368.10392500000034,6652.4649541666695,24570.761263717417,19902.316623611114
2025-02-10,60654.437347644685,60508.16437281968,0.0,146.27297482500006,23.518212500000004,9983.613640277781,23784.379453017824,19265.347356944443
2025-02-11,61548.27891839232,61392.7971313451,0.0,155.48178704722267,30.773688888888955,9012.070231944443,24365.196647805213,19735.80928472222
2025-02-12,61036.70599306799,60632.53628430827,0.0,404.169708759722,87.68031527777782,8644.707633333333,24737.68392832647,20037.523981944447
2025-02-13,60090.52134575967,59857.58029706244,0.0,232.94104869722247,61.80581527777747,12303.277877777786,24343.5937654321,19718.31095
2025-02-14,17451.43657228445,16796.593134310144,0.0,654.8434379743039,241.59995555555486,7243.0302180555545,21198.291966735254,17170.616493055553
2025-02-15,17473.403066590505,16657.22242107384,0.0,816.1806455166659,243.76377222222163,6253.545130555555,21091.422515432096,17084.0522375
2025-02-16,59768.72427390269,58354.64091999436,0.0,1414.0833539083342,331.00829722222215,5437.9851861111165,23984.54189814815,19427.478937499996
2025-02-17,56908.20817867237,56246.225073809874,0.0,661.9831048625002,164.5714333333333,7313.999748611112,21909.58555041152,17746.764295833334
2025-02-18,55813.72323732882,55020.49729105382,0.0,793.2259462750008,183.56383333333372,5871.050187500001,22971.77116769547,18607.134645833332
2025-02-19,56945.63821568879,54745.971704659634,0.0,2199.666511029159,644.7940541666646,5350.7702916666685,23915.5607973251,19371.604245833336
