date,final_relative_cost_yuan,plan_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,emergency_kwh,unused_surplus_kwh,charge_kwh,discharge_kwh
2025-02-01,20769.496353407223,20722.71885274264,0.0,46.77750066458341,11.508795833333352,10618.103287500004,22117.291663237305,17915.006247222216
2025-02-02,67569.04799196344,67463.0984199565,0.0,105.94957200694344,16.58635277777762,12307.267606944444,25549.865485253773,20695.391043055555
2025-02-03,67112.06128467167,66944.85733707098,0.0,167.20394760069138,44.07797222222155,8520.859075000004,24833.333333333332,20115.000000000004
2025-02-04,67452.1900126978,66621.3412290499,0.0,830.8487836479169,207.79900694444416,7445.237859722223,24115.490699588474,19533.547466666667
2025-02-05,66665.93856060777,65709.51298012167,0.0,956.4255804861058,204.62882916666533,7044.875091666669,24833.333333333332,20114.999999999996
2025-02-06,66562.76522550527,66367.7966266518,0.0,194.96859885347044,58.094274999999584,8039.28532916667,24997.079170096018,20247.63412777778
2025-02-07,19324.60103647292,19155.27435879375,0.0,169.32667767916698,44.17186805555559,10282.273791666674,22666.666666666664,18360.0
2025-02-08,18757.402962132328,18490.611735484414,0.0,266.7912266479159,51.000772222222054,8895.524411111111,21813.109878257892,17668.619001388888
2025-02-09,64982.67451593215,63283.883142380764,0.0,1698.7913735513873,426.77609861111034,6271.915404166667,24649.525655006855,19966.115780555556
2025-02-10,60289.27934591264,60127.26394806264,0.0,162.01539784999923,25.949662499999874,9442.682393055558,23747.996032235937,19235.876786111112
2025-02-11,61214.271785918405,61041.03835720452,0.0,173.23342871388903,34.59535555555556,8514.019513888887,24378.223641975306,19746.36115
2025-02-12,60692.780217254425,60162.0647194336,0.0,530.715497820831,115.46458333333283,8025.500059722223,24676.87629458162,19988.269798611112
2025-02-13,59903.61270424388,59598.66757344249,0.0,304.9451308013894,79.20141249999983,12013.926341666674,24309.385452674895,19690.60221666667
2025-02-14,17700.897078600174,16757.721768843225,0.0,943.1753097569475,367.4858569444457,7370.084650000001,21364.710169753085,17305.415237499998
2025-02-15,17471.716123971353,16554.73919913594,0.0,916.9769248354119,283.6849027777761,6026.247530555558,21031.546145404664,17035.552377777778
2025-02-16,59686.16232284973,58248.866781759454,0.0,1437.2955410902703,345.4895236111091,5325.659538888892,23966.32085219478,19412.719890277778
2025-02-17,57073.503940833114,56139.67068045187,0.0,933.8332603812466,229.6730013888881,7250.008934722228,21974.585385802467,17799.4141625
2025-02-18,55937.563376497616,54975.19249894761,0.0,962.3708775499995,235.81084166666653,5780.544412500003,23003.3629063786,18632.723954166668
2025-02-19,57505.04126046061,54746.18662786062,0.0,2758.8546325999946,774.7987749999982,5427.016141666669,24029.555149176955,19463.939670833333
2025-02-20,56483.44134317995,54902.082926454954,0.0,1581.3584167249994,389.0726208333331,6458.981020833338,23088.763405349797,18701.898358333332
2025-02-21,17024.836183808882,15311.6686124943,0.0,1713.167571314581,595.9150624999986,7862.073044041663,20251.563192232512,16403.766185708333
2025-02-22,17117.394496944165,15313.899237702502,0.0,1803.4952592416644,643.3577166666659,5012.826211574076,20167.915509259255,16336.011562499996
2025-02-23,56258.256751466055,53828.763295091056,0.0,2429.493456375,709.0902541666654,5237.943066666666,22431.950133744856,18169.879608333336
2025-02-24,52753.470826533136,51170.16095400189,0.0,1583.3098725312443,368.6184666666652,5438.074412500006,21991.63882201646,17813.227445833334
2025-02-25,52875.98649221711,51158.75878194836,0.0,1717.2277102687524,487.6903958333336,8908.406537500005,22546.777772633744,18262.889995833335
2025-02-26,53498.850648077765,50705.6875516736,0.0,2793.16309640416,715.2185541666647,4609.899991666667,23137.962088477365,18741.749291666667
2025-02-27,52055.89005275521,48531.77441571771,0.0,3524.1156370375033,698.536270833334,5454.315200000001,22653.823591666667,18349.59710925
2025-02-28,15653.07519076882,14316.567827618823,0.0,1336.5073631499981,451.23627083333287,8713.788537345681,19315.554063786007,15645.598791666665
2025-03-01,15146.006476373106,14182.456467956436,0.0,963.5500084166698,269.8055083333338,7673.3879291666635,18178.661219135807,14724.7155875
2025-03-02,68662.31856373542,49277.88638575835,0.0,19384.43217797707,4199.475670833331,3303.6157916666675,22039.038837448556,17851.62145833333
2025-03-03,71747.05335696893,47328.769005325186,0.0,24418.28435164375,5175.513441666664,2179.370429166669,21902.646476337442,17741.14364583333
2025-03-04,56395.31802188603,48071.9441645902,0.0,8323.37385729583,2067.7742499999986,2763.546841666666,22053.023251028804,17862.948833333336
2025-03-05,50482.72108737221,48202.296576809706,0.0,2280.4245105624973,523.6820333333329,5595.367700000003,23119.911445473248,18727.128270833335
2025-03-06,51985.61515230772,47010.15095207024,0.0,4975.4642002374885,1104.6264916666642,4737.338191666668,22629.985266666663,18330.288065999997
2025-03-07,14453.158120452663,13720.039893300578,0.0,733.1182271520843,294.7055166666668,9770.685991375,17869.222329886827,14474.070087208334
2025-03-08,14161.534322750837,13697.590735717502,0.0,463.9435870333352,195.0211875000005,11237.910840637864,17339.192001028805,14044.745520833332
2025-03-09,49225.443457566675,48274.29346461459,0.0,951.1499929520868,211.85494166666717,9036.525029166674,23166.666666666664,18765.0
2025-03-10,56630.52831166327,47809.28264462577,0.0,8821.245667037501,2362.8629666666666,3461.37640416667,23082.058043518515,18696.46701525
2025-03-11,48915.78837889238,46437.50708425279,0.0,2478.2812946395843,609.8756166666665,5513.0796375000045,22581.242721193412,18290.806604166668
2025-03-12,47388.56180052058,46161.57822720808,0.0,1226.9835733125003,406.04839166666534,6841.464679166669,23491.598191666664,19028.19453525
2025-03-13,60909.842654888365,45619.191479805035,0.0,15290.651175083327,3737.0609541666654,3159.2063250000015,22735.799229115222,18415.997375583334
2025-03-14,13679.915966819033,12955.231573664865,0.0,724.6843931541677,251.46782500000018,13412.930529166668,16317.182613168723,13216.917916666667
2025-03-15,14599.422101548536,13214.719910871452,0.0,1384.7021906770844,478.3822666666667,8505.10775416667,17523.459876543206,14194.002499999999
2025-03-16,48196.183397983994,46618.83407386732,0.0,1577.349324116668,415.12776249999996,6851.083613958337,22928.27739377572,18571.904688958333
2025-03-17,45704.174836845516,44956.10741901844,0.0,748.0674178270846,185.91757083333357,11360.31169166667,22604.61188148148,18309.735623999997
2025-03-18,47020.465672169856,43786.89444840944,0.0,3233.5712237604143,657.7258541666658,6275.2831250000045,21914.791186162547,17750.980860791668
2025-03-19,45270.18323750041,43648.243418062906,0.0,1621.9398194375033,332.2235750000007,7805.600266666666,22724.224485596704,18406.62183333333
2025-03-20,46714.53050021621,44363.812986716206,0.0,2350.7175135000007,607.7376541666661,5334.031550000005,22362.788605967085,18113.858770833333
2025-03-21,13242.914535595837,12321.106833952086,0.0,921.8077016437514,360.2794958333331,16206.4099375,16000.0,12959.999999999998
2025-03-22,13176.233757691682,12674.313582418765,0.0,501.92017527291637,272.74301666666656,12327.198125000004,16960.992345679013,13738.403799999998
2025-03-23,45102.001305062164,43193.372506074666,0.0,1908.6287989874986,510.9189833333329,8088.801329166668,22786.481882716045,18457.050325
2025-03-24,43863.9549363304,42257.78123503874,0.0,1606.1737012916633,524.6467374999985,7332.23206666667,21773.898966049383,17636.8581625
2025-03-25,48106.63674977356,41291.34131686732,0.0,6815.295432906243,1634.8398124999974,3985.4543541666653,21874.227422839504,17718.1242125
2025-03-26,41682.18453226514,40207.42623341306,0.0,1474.7582988520824,412.8642208333333,7455.237012500004,21825.936404320986,17679.0084875
2025-03-27,43454.08479690748,41768.5803587804,0.0,1685.5044381270855,505.0718208333339,6302.130070833338,21781.810679012346,17643.26665
2025-03-28,13282.543372031867,12042.490695142285,0.0,1240.0526768895822,437.6031416666659,16700.753420833335,16525.804773662552,13385.901866666665
2025-03-29,12622.02763600589,11912.331370662141,0.0,709.696265343749,280.53392083333273,19640.79965416667,16718.840534979423,13542.26083333333
2025-03-30,41133.68871074552,39779.08264920385,0.0,1354.6060615416657,482.4827083333332,8305.705070833334,21610.01610550411,17504.113045458333
2025-03-31,43216.05893946893,39772.77158754185,0.0,3443.2873519270765,849.7633499999986,5769.576720833335,21669.65938271605,17552.4241
2025-04-01,48091.98528542111,41239.96790417735,0.0,6852.017381243764,2244.7334750000027,4097.703316666668,21650.172628600823,17536.639829166666
2025-04-02,53030.55022266449,38613.46613047699,0.0,14417.084092187504,3649.9814583333327,2935.30525416667,21468.57463477366,17389.545454166666
2025-04-03,43389.73571879615,40525.61391604824,0.0,2864.12180274791,720.7954458333311,7366.8942583333355,21562.559677417692,17465.673338708333
2025-04-04,12127.691070190418,11593.981295038335,0.0,533.7097751520839,201.62213750000018,20204.279104166668,16833.333333333336,13634.999999999998
2025-04-05,14037.993599998013,11875.828334356345,0.0,2162.165265641668,766.5747916666667,15393.30716666667,16726.640432098764,13548.578749999999
2025-04-06,39742.76632322389,37881.553074717645,0.0,1861.2132485062468,566.7638833333322,4962.375737500003,21454.58972222222,17378.217675
2025-04-07,38993.87120840905,37798.64259392156,0.0,1195.2286144874952,408.7623249999981,6494.805358333337,21390.94456790123,17326.665100000002
2025-04-08,41106.88627716553,38055.11331910721,0.0,3051.772958058329,714.6530624999989,6723.439737500004,21526.64920781893,17436.585858333332
2025-04-09,49796.19771520652,37693.44975242528,0.0,12102.747962781243,3314.631879166665,2776.387712500001,21354.74319444444,17297.3419875
2025-04-10,40630.71018356075,38459.009674737834,0.0,2171.700508822911,501.1139958333318,6736.242808333333,21455.24287037037,17378.746725
2025-04-11,12577.711730462504,11516.471117820834,0.0,1061.2406126416697,350.74769583333375,20976.284354166666,16000.000000000002,12959.999999999998
2025-04-12,11842.732334094688,11472.426363707185,0.0,370.3059703875012,130.00288750000027,17448.073487499998,16719.969650205763,13543.175416666667
2025-04-13,39965.46902166709,37244.52688577127,0.0,2720.9421358958202,645.389287499997,4704.541879166671,21397.237515432098,17331.7623875
2025-04-14,39359.695804274386,36270.308020203556,0.0,3089.387784070834,768.488175,5437.432493981487,21201.125072016457,17172.911308333336
2025-04-15,38972.66889599562,37111.06234271645,0.0,1861.6065532791722,409.2251125000008,9807.695508333334,21459.577103909465,17382.25745416667
2025-04-16,40895.870864030825,37616.422830035,0.0,3279.4480339958277,945.1485833333315,4101.419187500002,21461.162268518518,17383.5414375
2025-04-17,37566.41596812102,37068.18181701269,0.0,498.23415110832843,143.1355791666656,6123.6236541666685,21350.636291152263,17294.015395833332
2025-04-18,11443.451741524168,11036.29589737625,0.0,407.15584414791664,145.68813333333344,19301.486154166665,16000.0,12959.999999999998
2025-04-19,11690.387493112969,11144.395094515054,0.0,545.9923985979156,219.76223333333257,18844.431504166667,16712.76646090535,13537.340833333332
2025-04-20,39498.00788040446,36099.04561753571,0.0,3398.962262868752,749.8238791666666,5923.135754166668,20744.851466049386,16803.3296875
2025-04-21,36762.10743406077,35104.12291624826,0.0,1657.984517812501,459.6487499999994,8419.112870833334,21025.915951646093,17030.991920833334
2025-04-22,38008.06062034024,36663.21796938399,0.0,1344.8426509562491,405.77833333333274,6049.217725000005,20430.284799382716,16548.5306875
2025-04-23,37636.42151886848,37002.21388364765,0.0,634.2076352208327,191.3273541666664,7329.3444708333345,20888.915462962967,16920.021525
2025-04-24,36665.00412519255,35807.31571925921,0.0,857.688405933332,281.2219458333319,9551.525579166671,21300.170606995885,17253.13819166667
2025-04-25,10917.825781417918,10497.081073203335,0.0,420.7447082145822,149.30347916666608,22807.2503,16833.333333333332,13634.999999999998
2025-04-26,11447.862426181071,10832.380179014403,0.0,615.4822471666677,217.46641250000036,24801.273633333334,16728.746399176955,13550.284583333332
2025-04-27,37378.67460736291,34170.23890934417,0.0,3208.4356980187436,795.6992333333319,7103.91094583333,20657.60457304526,16732.659704166665
2025-04-28,53893.85059287733,34296.28917351065,0.0,19597.561419366677,4862.558229166669,1976.2098583333361,19719.99380144033,15973.194979166668
2025-04-29,36510.78503243883,34539.838158440914,0.0,1970.946873997911,485.78096666666534,8937.834666666668,20035.562510288066,16228.805633333333
2025-04-30,36340.146976063166,35497.899437417334,0.0,842.2475386458323,239.51169166666625,9594.712429166668,19671.571990740744,15933.9733125
2025-05-01,46799.91208347844,34850.052142561784,0.0,11949.85994091666,2513.2021749999985,5670.010991958336,20340.290802829215,16475.63555029167
2025-05-02,29046.59317344459,10908.962391025834,0.0,18137.630782418753,5362.7728375000015,15084.386066666671,16833.333333333332,13635.0
2025-05-03,18190.218565689865,11082.15828537737,0.0,7108.060280312496,1729.5228124999987,17331.002075000004,16857.58347736625,13654.642616666668
2025-05-04,46626.76844103757,36174.69233958758,0.0,10452.076101449997,2515.1131291666647,6333.549012500004,20684.888585390952,16754.75975416667
2025-05-05,49447.27146016659,36153.08793488742,0.0,13294.18352527916,2912.747345833332,3983.4436583333368,19924.18005144033,16138.585841666669
2025-05-06,47218.362786941834,36524.02019730852,0.0,10694.342589633312,2368.7600333333294,5365.929895833335,20094.64196502058,16276.65999166667
2025-05-07,48683.977601271414,37609.55962030684,0.0,11074.417980964572,2334.0602666666637,5439.140766666666,19168.668508230454,15526.621491666667
2025-05-08,48929.547187342374,37674.57890016113,0.0,11254.968287181244,3139.94365833333,3804.577229166666,20479.707474279836,16588.563054166665
2025-05-09,14122.39495175375,12599.464229407917,0.0,1522.9307223458322,498.37664166666616,18633.19093333333,16833.333333333336,13635.000000000002
2025-05-10,14030.800011239464,12812.258846991544,0.0,1218.5411642479205,441.66246250000097,14901.756270833332,16761.46913580247,13576.789999999999
2025-05-11,45272.64115313832,38738.32009009666,0.0,6534.321063041656,1574.436704166664,5227.4291833333355,20103.555838477365,16283.880229166667
2025-05-12,44161.68036727129,39902.44730916921,0.0,4259.233058102081,1138.7389958333326,10117.3622625,20851.79759259259,16889.95605
2025-05-13,40245.71415771077,38499.54468622328,0.0,1746.1694714874934,484.7275999999978,6284.125170833332,19819.348199485597,16053.672041583337
2025-05-14,39999.80251538372,38913.36079455246,0.0,1086.4417208312532,315.5172208333339,8027.001429166666,19548.610493827156,15834.374499999998
2025-05-15,41747.738428234996,39488.28378050166,0.0,2259.4546477333365,583.5510250000005,7799.734700000004,19979.96191872428,16183.769154166666
2025-05-16,13630.374280121252,13035.264950904586,0.0,595.1093292166663,217.0287374999997,24801.6543,16833.333333333332,13634.999999999996
2025-05-17,14390.349132133331,13230.047116235417,0.0,1160.3020158979148,524.6475833333329,17453.54140416667,16833.333333333332,13635.0
2025-05-18,42218.25013630368,40002.03133406827,0.0,2216.2188022354117,800.1450291666649,8224.649025,19730.573106995886,15981.764216666668
2025-05-19,40269.33862447993,39603.7459016341,0.0,665.5927228458338,102.4948333333333,14580.635712500003,19891.95681584362,16112.485020833334
2025-05-20,41590.89839673906,39350.168381676565,0.0,2240.730015062491,526.2396749999978,6524.581987500001,19799.38328189301,16037.500458333336
2025-05-21,42531.47151928937,39554.021403710205,0.0,2977.4501155791663,798.6645833333331,10541.315508333331,19183.866646090533,15538.931983333332
2025-05-22,40136.78800324642,39742.0065397985,0.0,394.7814634479208,119.310075000001,10261.6881625,19637.934891975303,15906.7272625
2025-05-23,13400.783883829166,13077.213996310416,0.0,323.5698875187508,160.69255416666692,21147.094337500002,16833.333333333332,13635.0
2025-05-24,13783.18481172208,13516.506580292913,0.0,266.6782314291663,143.70707499999992,23875.760154166666,17333.333333333336,14040.000000000004
2025-05-25,40303.94832247981,39681.43645767356,0.0,622.51186480625,152.4941958333331,12729.413132291667,19046.859859825105,15427.956486458335
2025-05-26,43363.46032620701,39271.583444161166,0.0,4091.87688204584,1077.5512541666685,7251.963475000002,19087.76010277778,15461.085683249998
2025-05-27,38955.07677932153,38483.553647159024,0.0,471.5231321625045,150.8805541666676,10581.274275000003,18976.920982510288,15371.305995833332
