date,final_relative_cost_yuan,plan_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,emergency_kwh,unused_surplus_kwh,charge_kwh,discharge_kwh
2025-02-01,23465.2327200911,21333.73656061423,-779.3029421495208,2910.79910162639,671.0720805555559,8737.346156944444,21658.544735305215,17520.133041666668
2025-02-02,67744.25463213226,66576.5526866816,-1160.6786970582066,2328.380642508858,405.21821549999925,9286.72744353567,24780.41132971536,20087.4604345
2025-02-03,71047.72706207234,69901.22100677586,-2262.33632527847,3408.8423805749535,659.0198940000017,7844.735888888891,24679.937025102885,19998.709926833333
2025-02-04,72327.4709731302,72037.3501979207,-1995.5148588181482,2285.635634027636,466.9354674382732,9224.480521083335,24328.950134053495,19706.449608583334
2025-02-05,69786.54511615893,66945.74924599718,-243.16673823448912,3083.9626083962307,571.538386848423,8021.494970833333,24748.55537191358,20044.241981749998
2025-02-06,72381.81218164117,71757.23500807674,-2976.9213916744443,3601.4985652388827,655.5145069444433,8352.20137980556,25021.975271913576,20269.898184125
2025-02-07,21078.29948205371,20772.40422714186,-848.0981910575948,1153.993445969446,300.24421944444475,9902.510898611117,22666.679437499995,18360.0
2025-02-08,22269.86556365993,17196.559975528748,153.7719018080361,4919.533686323143,1199.6830824074057,7349.287740277776,20957.551986591217,16951.470230208335
2025-02-09,68032.1675034031,66889.79631828619,-848.1013883698125,1990.472573486729,406.06411023662565,8313.885852571677,23471.403856207133,19034.14729595833
2025-02-10,63422.53830029272,61001.370420520936,-1863.2632113886268,4284.4310911604125,869.6214249999987,6745.18070586626,23765.153276989022,19247.75762336111
2025-02-11,65969.2897096841,62390.72504258639,-2123.998004993248,5702.562672090964,1064.8015402777764,6353.022487088478,23300.4965723594,18877.255461111115
2025-02-12,64970.696528596396,62254.009624836035,-2326.013189876452,5042.7000936368095,933.2015861111119,5752.6779652777805,23592.5835204561,19103.304219444446
2025-02-13,60381.66867965771,56584.91818472018,-1264.1251017562213,5060.875596693755,949.5435958333339,6571.255996208338,23119.24695943073,18734.236652597225
2025-02-14,19424.2298741827,16872.56902906082,5.778953406605126,2545.881891715275,669.0893847222217,7438.319546382028,19813.728070164612,16048.161553500002
2025-02-15,20882.029292787425,17468.95795532854,-457.41883002652753,3870.490167485413,1083.6784416666653,6976.306878720856,20113.50191085391,16278.983693055554
2025-02-16,68080.06891285437,61690.66725397985,-3034.1619476671444,9423.563606541666,1971.4352611111108,4029.8892647976727,23172.01938242455,18782.2885545
2025-02-17,61925.892181251555,60370.5431050991,-3306.5669926281107,4861.91606878056,1041.1268916666672,5455.834154166669,21884.254773662546,17726.246366666666
2025-02-18,61737.6847458757,52297.19270685202,607.2225770882699,8833.269461935408,1931.4112999999986,4773.3718472222245,22576.188820130315,18286.712944305556
2025-02-19,61773.256322715846,52494.849340509165,111.99122731710825,9166.415754889578,2107.308749999999,3680.0724275555554,23993.015882818927,19430.854417833332
2025-02-20,60514.54815818704,54773.1467207585,-870.1770883686621,6611.578525797206,1326.7136736111074,5177.509448638891,22273.15192969822,18063.975064472223
2025-02-21,19226.181216378263,15016.08298150014,59.864315821877,4150.233919056247,1270.355543055554,8195.746757819445,20176.817398885458,16323.988538930553
2025-02-22,21757.874772327308,15074.160744158125,0.9061888407147052,6682.8078393284695,1878.329901388888,5529.241118375001,19697.81240265775,15938.03777727778
2025-02-23,64447.88553910783,52987.76164695629,-211.2055326732272,11671.329424824764,2528.086482493139,4406.394977722224,22458.612942592594,18208.666752375
2025-02-24,59385.66940442262,51508.25612362068,218.50724396583334,7658.906036836108,1508.002705555555,6415.61728849451,22028.730603566524,17843.271788888887
2025-02-25,58247.86668993909,52085.952543180116,-2139.7917262382484,8301.705872997223,1780.7158722222225,6362.060582277782,21576.604735562407,17473.541185805556
2025-02-26,59147.67773215027,47267.95133727982,1985.3214238593341,9894.404971011112,2122.349783333332,3666.536959533611,22570.543543244166,18285.64892002778
2025-02-27,56543.095588141,47848.65143624214,-68.24391140933277,8762.688063308193,1756.9350434096411,5116.136112555558,22846.949203806584,18509.24579370833
2025-02-28,18820.848569959173,14164.736662165278,108.40822845199608,4547.7036793418965,1311.504584567901,9008.032887500003,18622.390123456786,15080.919061375
2025-03-01,17895.91365102385,15888.290267274739,-637.0313393099101,2644.6547230590227,1039.4405472222193,9578.213740277779,19180.173511882716,15518.841491875002
2025-03-02,61320.543076796246,54989.96126072993,1831.2925498316008,4499.289266234718,908.9119277777768,7457.362464489028,23109.57357503429,18735.853648527776
2025-03-03,61132.84005896322,57110.91610417632,-820.1627697276925,4842.086724514595,1070.9187194444462,6170.707850000002,22647.564773319617,18344.527466388885
2025-03-04,58060.68511084841,49638.81450565619,1331.5788127526498,7090.291792439575,1642.7878180555535,5302.597942438272,22325.27339135802,18083.471447
2025-03-05,54778.10936547392,51641.294273712636,-1476.045393145669,4612.860484906955,1025.8513902777797,7044.644692069448,23210.90117638889,18800.059501124997
2025-03-06,53235.558399085894,48339.57726280974,378.4808225094872,4517.500313766673,991.847927777779,6266.419980555554,23310.196389283265,18889.870269319446
2025-03-07,16287.03518570874,14539.475979474119,-377.10433706954524,2124.6635433041683,684.2460194444449,10244.367682444443,17718.925840277778,14345.790851625
2025-03-08,15881.166741027497,13566.32826129139,24.076250078333135,2290.762229657773,704.7358457475982,11430.30757947977,17348.607148851162,14032.885743694444
2025-03-09,53423.22034540514,49711.59103905599,-1864.1975206783306,5575.826827027482,1336.9003772499984,6363.660439180559,23434.473668055554,18999.130388125002
2025-03-10,58119.08603169919,49024.20875119809,306.56021207679026,8788.317068424305,1948.798759722222,5161.333044402782,23195.2693938443,18789.145875638886
2025-03-11,54295.83984055961,42341.23947331722,4403.261049009754,7551.339318232634,1642.4118611111096,5311.278177897812,21685.258619324413,17565.059481652777
2025-03-12,52200.57618754447,48719.95800416418,-1723.5028633162335,5204.121046696519,1214.660061111108,6614.865675000006,23282.689126165977,18858.978192194445
2025-03-13,56392.31960733891,50178.91604992679,-24.463849244280457,6237.867406656403,1331.712890527774,6383.435752902784,21882.437304235253,17729.394728930558
