phase,mode,variant,days,intervals,total_cost_yuan,emergency_kwh,emergency_cost_yuan,emergency_cost_share,unused_surplus_kwh,throughput_kwh,net_adjustment_yuan,sequential_cost_yuan,initial_soc,terminal_soc,solves,solver_seconds,median_seconds,p95_seconds,max_seconds,simulation_seconds,audit_seconds,failures,max_lp_residual,min_actual_scenarios,max_actual_scenarios,max_physical_residual,passed,export_seconds
formal,q2,count10_span10,334,48096,14656364.564367484,270892.631008899,1053131.8001567442,0.07185491296505517,3308625.202148268,12643286.324268322,0.0,14656364.564367484,6000.0,6000.0,334,9.38254321100976,0.02747931249996327,0.03529004989968597,0.054773500000010245,14.173519832998863,2.6127745840003627,0,0.0,10,10,1.0231815394945443e-12,True,16.86680287499985
formal,q2,count10_span20,334,48096,14918069.24724093,307863.4629018517,1193842.5372400945,0.08002661185266273,3503247.3868107246,12663599.433227483,0.0,14918069.24724093,6000.0,6000.0,334,7.8825937929868815,0.02461262550059473,0.0292271580007764,0.030587375000322936,12.211064249999254,1.5513910000008764,0,0.0,10,10,1.0231815394945443e-12,True,13.956889375000173
formal,q2,count40_span40,334,48096,14940666.828045066,333892.9229670996,1261774.61218338,0.0844523625822984,3459327.1608754154,12654505.775889188,0.0,14940666.828045066,6000.0,6000.0,334,40.59226000698072,0.11832010449961672,0.16491385239987716,0.3674372920013411,50.12195033399985,2.7871952499990584,0,2.2737367544323206e-13,30,40,1.0231815394945443e-12,True,46.92133762499907
formal,q2,raw_history,334,48096,17195048.501385584,365616.17969248747,1423312.6208703658,0.08277456273273522,6451890.247119883,13479147.837250426,0.0,17195048.501385584,6000.0,6000.0,334,19.19200853599068,0.05527983350020804,0.06848382894959285,0.2492117909987428,25.372977291999632,2.4895957089993317,0,0.0,20,20,1.0231815394945443e-12,True,15.981232083000577
formal,q2,reference,334,48096,14794949.723302985,304382.5519326809,1166319.4310694847,0.07883226728594134,3371861.980407314,12650373.460542165,0.0,14794949.723302985,6000.0,6000.0,334,20.252186056004575,0.05691408349957783,0.08152948124943575,0.3008232499996666,27.638199916000303,2.9654779579996102,0,0.0,20,20,1.0231815394945443e-12,True,19.705212999999276
formal,q2,shuffle_20260913,334,48096,14810974.42565674,308448.7013125513,1184395.4009548053,0.07996741922010898,3372445.583979297,12659100.750565939,0.0,14810974.42565674,6000.0,6000.0,334,19.020867174011073,0.05417291700086935,0.07802874420103763,0.13758400000006077,26.2295536670008,7.60078783300014,0,0.0,20,20,1.0231815394945443e-12,True,34.70651220800028
formal,q2,shuffle_20260914,334,48096,14810896.587171104,308745.72575911763,1186368.6023544688,0.08010106581812725,3371371.6537646092,12655569.993054722,0.0,14810896.587171104,6000.0,6000.0,334,11.336095955008204,0.033718292000230576,0.036713410650645525,0.1769502500010276,15.480910124999355,1.5755123750004714,0,0.0,20,20,1.0231815394945443e-12,True,10.413492457999382
formal,q2,shuffle_20260915,334,48096,14819004.40265622,309990.1889868934,1192914.996839413,0.08049899739726037,3373970.6959412983,12656498.378092034,0.0,14819004.40265622,6000.0,6000.0,334,11.052732205997017,0.03378383299968846,0.03606571249983972,0.03797091699925659,15.203471458999047,1.5729240420005226,0,0.0,20,20,1.0231815394945443e-12,True,10.488402334000057
formal,q2,shuffle_20260916,334,48096,14814240.705771247,308903.02444034035,1187357.5765404159,0.0801497424081851,3376549.3512369515,12653033.966392785,0.0,14814240.705771247,6000.0,6000.0,334,11.091157488006502,0.03377004149933782,0.036432218300069506,0.04020649999984016,15.26639412500117,1.6060315419999824,0,0.0,20,20,1.0231815394945443e-12,True,10.465779624999413
formal,q2,shuffle_20260917,334,48096,14819432.093613535,309627.0677695291,1190276.5391142294,0.08031863377728095,3378236.145249932,12656677.898295436,0.0,14819432.093613535,6000.0,6000.0,334,15.874999832007234,0.03593625050052651,0.08768632509836606,0.32801075000134006,21.640075125000294,1.9124870840005315,0,0.0,20,20,1.0231815394945443e-12,True,12.05506879099994
formal,q2,terminal_0,334,48096,14808993.0999373,304720.2064118476,1167599.159346941,0.07884392621885174,3370093.5806989805,12456047.49680407,0.0,14808993.0999373,6000.0,6000.0,334,18.75221016501564,0.054510250500243274,0.07740067685044777,0.0964681669993297,25.630719541999497,3.840579208001145,0,0.0,20,20,1.0231815394945443e-12,True,17.091079083000295
formal,q2,terminal_05,334,48096,14808993.0999373,304720.2064118476,1167599.159346941,0.07884392621885174,3370093.5806989805,12456047.49680407,0.0,14808993.0999373,6000.0,6000.0,334,24.51968907198534,0.07206216600116022,0.09922344550031989,0.3309086249992106,34.1343369590013,3.817766665999443,0,0.0,20,20,1.0231815394945443e-12,True,20.923100832998898
formal,q2,terminal_15,334,48096,14794949.723302985,304382.5519326809,1166319.4310694847,0.07883226728594134,3371861.980407314,12650373.460542165,0.0,14794949.723302985,6000.0,6000.0,334,18.580209253992507,0.053561416500087944,0.08210419649931279,0.1474056249990099,25.438670499999716,2.4319059160006873,0,0.0,20,20,1.0231815394945443e-12,True,19.678409665999425
