mode,comparison,block_days,replicates,difference,ci_low,ci_high
q3,S3-S0,3,2000,-123506.6098868908,-184634.84837878827,-65950.56166945909
q3,S3-S0,7,2000,-123506.6098868908,-182687.67540990893,-61639.59504177155
q3,S3-S0,14,2000,-123506.6098868908,-179520.54829815973,-62009.14550960872
q3,S3-S0,28,2000,-123506.6098868908,-188720.9984115885,-69276.52176366013
q3,S3-S2,3,2000,206.5101826268874,-306.785973527681,942.7971019175396
q3,S3-S2,7,2000,206.5101826268874,-303.0173734201024,921.9203235669563
q3,S3-S2,14,2000,206.5101826268874,-241.44979787028342,956.1369915562166
q3,S3-S2,28,2000,206.5101826268874,-221.25566646017825,944.0789523719478
q4_3,S3-S0,3,2000,-155342.72823705763,-219234.16082088344,-90557.98152301356
q4_3,S3-S0,7,2000,-155342.72823705763,-219331.14563329716,-95648.8364290923
q4_3,S3-S0,14,2000,-155342.72823705763,-215718.87297336225,-97123.43890903375
q4_3,S3-S0,28,2000,-155342.72823705763,-218048.59128774583,-101548.05997571415
q4_3,S3-S2,3,2000,11.746183677896624,-96.54853959150164,108.68583185851178
q4_3,S3-S2,7,2000,11.746183677896624,-71.06111792989964,85.97083860401357
q4_3,S3-S2,14,2000,11.746183677896624,-70.4696868731528,81.74081271889034
q4_3,S3-S2,28,2000,11.746183677896624,-60.92165000541322,83.4397725393751
